15:53:28 | ================================================================================
15:53:28 |  GUMNet_RL | DAU | H1 | walkforward | seed=123
15:53:28 | ================================================================================
15:53:28 | Data: 4513 rows | Features: 16
15:58:40 |  Iter-01 | MAE=1.303 | MAPE=1.58%
16:03:38 |  Iter-02 | MAE=0.685 | MAPE=0.83%
16:08:20 |  Iter-03 | MAE=0.878 | MAPE=1.08%
16:13:02 |  Iter-04 | MAE=1.466 | MAPE=1.83%
16:18:27 |  Iter-05 | MAE=0.237 | MAPE=0.30%
16:23:17 |  Iter-06 | MAE=0.365 | MAPE=0.46%
16:27:59 |  Iter-07 | MAE=1.302 | MAPE=1.65%
16:33:04 |  Iter-08 | MAE=0.446 | MAPE=0.56%
16:38:28 |  Iter-09 | MAE=0.229 | MAPE=0.29%
16:43:02 |  Iter-10 | MAE=0.226 | MAPE=0.28%
16:47:36 |  Iter-11 | MAE=0.186 | MAPE=0.23%
16:52:19 |  Iter-12 | MAE=0.503 | MAPE=0.62%
16:56:44 |  Iter-13 | MAE=0.739 | MAPE=0.93%
17:01:25 |  Iter-14 | MAE=0.403 | MAPE=0.51%
17:06:16 |  Iter-15 | MAE=0.773 | MAPE=0.96%
17:10:50 |  Iter-16 | MAE=0.477 | MAPE=0.59%
17:15:51 |  Iter-17 | MAE=0.148 | MAPE=0.19%
17:20:33 |  Iter-18 | MAE=1.084 | MAPE=1.39%
17:25:08 |  Iter-19 | MAE=0.101 | MAPE=0.13%
17:29:58 |  Iter-20 | MAE=2.106 | MAPE=2.72%
17:34:24 |  Iter-21 | MAE=0.088 | MAPE=0.11%
17:39:06 |  Iter-22 | MAE=1.189 | MAPE=1.49%
17:43:39 |  Iter-23 | MAE=0.428 | MAPE=0.53%
17:48:30 |  Iter-24 | MAE=0.726 | MAPE=0.89%
17:53:39 |  Iter-25 | MAE=0.312 | MAPE=0.38%
17:58:13 |  Iter-26 | MAE=1.860 | MAPE=2.27%
18:03:29 |  Iter-27 | MAE=1.658 | MAPE=2.03%
18:07:55 |  Iter-28 | MAE=0.066 | MAPE=0.08%
18:12:37 |  Iter-29 | MAE=0.861 | MAPE=1.04%
18:17:54 |  Iter-30 | MAE=0.428 | MAPE=0.51%
18:22:28 |  Iter-31 | MAE=2.243 | MAPE=2.63%
18:27:19 |  Iter-32 | MAE=0.945 | MAPE=1.12%
18:32:01 |  Iter-33 | MAE=0.091 | MAPE=0.11%
18:36:52 |  Iter-34 | MAE=1.038 | MAPE=1.24%
18:41:59 |  Iter-35 | MAE=0.874 | MAPE=1.01%
18:46:56 |  Iter-36 | MAE=1.415 | MAPE=1.60%
18:51:38 |  Iter-37 | MAE=0.903 | MAPE=1.02%
18:56:19 |  Iter-38 | MAE=2.334 | MAPE=2.68%
19:01:18 |  Iter-39 | MAE=1.590 | MAPE=1.84%
19:06:26 |  Iter-40 | MAE=0.623 | MAPE=0.71%
19:11:09 |  Iter-41 | MAE=0.728 | MAPE=0.83%
19:15:50 |  Iter-42 | MAE=1.996 | MAPE=2.25%
19:20:32 |  Iter-43 | MAE=1.835 | MAPE=2.10%
19:25:27 |  Iter-44 | MAE=0.504 | MAPE=0.57%
19:30:22 |  Iter-45 | MAE=1.099 | MAPE=1.23%
19:35:27 |  Iter-46 | MAE=0.209 | MAPE=0.23%
19:40:40 |  Iter-47 | MAE=0.449 | MAPE=0.52%
19:45:52 |  Iter-48 | MAE=0.615 | MAPE=0.71%
19:50:56 |  Iter-49 | MAE=0.750 | MAPE=0.87%
19:56:35 |  Iter-50 | MAE=0.320 | MAPE=0.37%
20:01:12 |  Iter-51 | MAE=3.747 | MAPE=4.11%
20:06:25 |  Iter-52 | MAE=1.349 | MAPE=1.46%
20:11:46 |  Iter-53 | MAE=1.425 | MAPE=1.56%
20:17:00 |  Iter-54 | MAE=0.732 | MAPE=0.79%
20:21:55 |  Iter-55 | MAE=0.435 | MAPE=0.47%
20:26:50 |  Iter-56 | MAE=1.465 | MAPE=1.59%
20:31:54 |  Iter-57 | MAE=0.258 | MAPE=0.28%
20:36:58 |  Iter-58 | MAE=21.503 | MAPE=18.72%
20:41:44 |  Iter-59 | MAE=12.100 | MAPE=9.64%
20:46:35 |  Iter-60 | MAE=15.710 | MAPE=10.98%
20:51:59 |  Iter-61 | MAE=14.405 | MAPE=9.44%
20:56:40 |  Iter-62 | MAE=0.735 | MAPE=0.47%
21:02:04 |  Iter-63 | MAE=22.586 | MAPE=12.21%
21:06:52 |  Iter-64 | MAE=22.102 | MAPE=13.74%
21:11:41 |  Iter-65 | MAE=2.689 | MAPE=1.64%
21:16:29 |  Iter-66 | MAE=30.350 | MAPE=15.64%
21:21:10 |  Iter-67 | MAE=2.212 | MAPE=1.15%
21:26:16 |  Iter-68 | MAE=5.740 | MAPE=3.01%
21:31:13 |  Iter-69 | MAE=13.041 | MAPE=6.60%
21:36:27 |  Iter-70 | MAE=2.426 | MAPE=1.22%
21:41:14 |  Iter-71 | MAE=19.747 | MAPE=8.82%
21:46:28 |  Iter-72 | MAE=7.446 | MAPE=3.35%
21:51:06 |  Iter-73 | MAE=15.530 | MAPE=6.41%
21:56:02 |  Iter-74 | MAE=9.898 | MAPE=4.51%
22:00:42 |  Iter-75 | MAE=20.083 | MAPE=9.79%
22:06:04 |  Iter-76 | MAE=7.186 | MAPE=3.33%
22:11:52 |  Iter-77 | MAE=15.240 | MAPE=6.42%
22:16:57 |  Iter-78 | MAE=8.368 | MAPE=3.32%
22:22:27 |  Iter-79 | MAE=14.529 | MAPE=6.09%
22:27:49 |  Iter-80 | MAE=7.600 | MAPE=3.10%
22:33:11 |  Iter-81 | MAE=56.128 | MAPE=19.20%
22:38:15 |  Iter-82 | MAE=24.967 | MAPE=9.33%
22:43:10 |  Iter-83 | MAE=19.919 | MAPE=8.23%
22:48:06 |  Iter-84 | MAE=59.008 | MAPE=30.92%
22:53:02 |  Iter-85 | MAE=10.313 | MAPE=5.01%
22:57:50 |  Iter-86 | MAE=3.635 | MAPE=1.84%
23:03:03 |  Iter-87 | MAE=7.553 | MAPE=3.94%
23:08:15 |  Iter-88 | MAE=19.780 | MAPE=10.97%
23:13:36 |  Iter-89 | MAE=13.811 | MAPE=8.34%
23:18:23 |  Iter-90 | MAE=2.346 | MAPE=1.42%
23:23:19 |  Iter-91 | MAE=0.604 | MAPE=0.37%
23:28:33 |  Iter-92 | MAE=7.695 | MAPE=5.20%
23:33:29 |  Iter-93 | MAE=3.069 | MAPE=2.10%
23:38:25 |  Iter-94 | MAE=11.101 | MAPE=6.94%
23:43:28 |  Iter-95 | MAE=0.541 | MAPE=0.33%
23:48:34 |  Iter-96 | MAE=0.577 | MAPE=0.34%
23:53:30 |  Iter-97 | MAE=2.216 | MAPE=1.33%
23:58:25 |  Iter-98 | MAE=6.403 | MAPE=3.99%
00:03:21 |  Iter-99 | MAE=2.857 | MAPE=1.75%
00:07:58 |  Iter-100 | MAE=2.830 | MAPE=1.66%
00:07:58 | 
 OVERALL: MAE=5.978, MAPE=3.43%, R2=0.9595 (29670.3s)
00:07:58 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/DAU_H1_seed123/model_checkpoint.pth
00:07:58 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/GUMNet_RL/DAU_H1_seed123/processor.pkl
