Model,Paradigm,XANG_Seeds,DAU_Seeds,XANG_MAE_mean,XANG_MAE_std,DAU_MAE_mean,DAU_MAE_std,XANG_RMSE_mean,XANG_RMSE_std,DAU_RMSE_mean,DAU_RMSE_std,XANG_MAPE_mean,XANG_MAPE_std,DAU_MAPE_mean,DAU_MAPE_std,XANG_CRPS_mean,XANG_CRPS_std,DAU_CRPS_mean,DAU_CRPS_std,XANG_DA_mean,XANG_DA_std,DAU_DA_mean,DAU_DA_std,XANG_R2_mean,XANG_R2_std,DAU_R2_mean,DAU_R2_std,XANG_MASE_mean,XANG_MASE_std,DAU_MASE_mean,DAU_MASE_std,XANG_SMAPE_mean,XANG_SMAPE_std,DAU_SMAPE_mean,DAU_SMAPE_std
PatchTST,P2 Transformer,5,1,4.8268632,0.027545315582871734,9.036329,0.0,8.3076726,0.04029464725543547,17.615666,0.0,4.2280999999999995,0.0245921125566714,5.3603,0.0,4.8270297499999995,0.030794347187227327,,0.0,47.858000000000004,1.5265962138037699,48.47,0.0,0.9251318,0.00072671766181924,0.909812,0.0,1.0006968,0.0057104673854247515,1.622055,0.0,4.28308,0.023529504882168855,5.4093,0.0
Moirai,P6 Foundation,5,1,4.828652,0.06868804839562688,9.107155,0.0,8.283243600000002,0.12072694366478441,17.716611,0.0,4.23278,0.05656947586817483,5.4016,0.0,4.828652,0.06868804839562688,9.107155,0.0,48.367999999999995,1.5932909338849564,42.86,0.0,0.9255572000000001,0.0021631616120854095,0.908776,0.0,1.0010678,0.014240222040403695,1.634769,0.0,4.28596,0.05374184961461594,5.4581,0.0
UniTS,P3 Inverted,5,1,4.8466178,0.03708414681990132,9.154663,0.0,8.5048578,0.1128193423104389,17.769275,0.0,4.28032,0.031824795364620906,5.4424,0.0,4.8448585,0.041274286780633745,,0.0,48.980000000000004,2.280789337049787,47.45,0.0,0.9215235999999999,0.0020812212376391,0.908233,0.0,1.0047922,0.007688242228233994,1.643296,0.0,4.31144,0.03356835414493837,5.4667,0.0
GUMNet,P8 GUMNet Ours,5,1,4.854549799999999,0.018972895260344572,9.050889,0.0,8.353131,0.09037322447052547,17.744341,0.0,4.25652,0.011005344156363457,5.3721,0.0,3.41055675,0.019335676253689822,6.210441,0.0,49.08200000000001,2.4007948683717233,45.41,0.0,0.9243032,0.001633768331190204,0.90849,0.0,1.0064366,0.00393339398484313,1.624669,0.0,4.29452,0.013848523386989746,5.4062,0.0
iTransformer,P3 Inverted,5,1,4.9617678,0.2344593419844046,10.036623,0.0,8.757187400000001,0.4552855542832868,19.314305,0.0,4.39766,0.19233722052686528,5.9811,0.0,4.94438925,0.2592371670964399,,0.0,45.51200000000001,2.9279508192590944,46.43,0.0,0.9165876,0.008770505609142516,0.891581,0.0,1.0286648,0.048607553081388526,1.801612,0.0,4.41052,0.17529489895601652,5.9506,0.0
TimesFM,P6 Foundation,5,1,4.974561,0.0503711089852112,9.143055,0.0,8.5522982,0.10636986811950092,17.630664,0.0,4.40376,0.05069096960998092,5.4581,0.0,4.974561,0.0503711089852112,,0.0,46.327999999999996,1.7489356763471882,55.61,0.0,0.9206476,0.0019723690932480294,0.909659,0.0,1.0313174,0.010442757271908593,1.641213,0.0,4.43354,0.05162230525654568,5.4946,0.0
RLinear,P1 Linear,5,1,4.977911199999999,0.19309689536851693,9.391028,0.0,8.6616666,0.30549965154585695,17.865216,0.0,4.39296,0.1365429251188065,5.5899,0.0,4.9244265,0.17973577295783388,,0.0,42.248000000000005,2.819336092061392,45.92,0.0,0.918516,0.005746204068774444,0.907239,0.0,1.0320117999999998,0.040032538232792576,1.685725,0.0,4.4265,0.14116916093821638,5.6153,0.0
TTM,P4 Frequency,5,1,5.034823399999999,0.17336386464958622,9.171693,0.0,8.8727406,0.29539420830652746,18.05956,0.0,4.43256,0.14256339782707197,5.4809,0.0,5.06258275,0.18361884270326823,,0.0,46.634,1.5669537325651959,52.55,0.0,0.9145078,0.005783715947381907,0.90521,0.0,1.0438106,0.03594148523697932,1.646353,0.0,4.50326,0.15292821322437553,5.5084,0.0
GUMNet_Fourier,P8 GUMNet Ours,5,1,5.0633444,0.16024900174615764,10.401879,0.0,8.8472866,0.2840583320084804,20.133367,0.0,4.43718,0.12340699169820156,6.036,0.0,3.4714872,0.13405952265825807,7.496826,0.0,46.736000000000004,3.571456845602364,42.86,0.0,0.9150044000000002,0.005478426292285015,0.88219,0.0,1.0497236,0.03322236618063201,1.867177,0.0,4.456840000000001,0.11374574453578477,5.9503,0.0
FITS,P4 Frequency,5,1,5.0826208,0.11441854295069478,9.01539,0.0,8.864260400000001,0.20594491593491715,17.515022,0.0,4.47728,0.07188962094767246,5.4225,0.0,5.09139875,0.1264090253213254,,0.0,42.758,1.492131361509434,42.35,0.0,0.91472,0.003964443466616744,0.91084,0.0,1.0537198,0.023721000496606384,1.618296,0.0,4.550579999999999,0.08771817143556969,5.4894,0.0
GUMNet_MoE_Sparse,P8 GUMNet Ours,1,1,5.088237,0.0,9.223287,0.0,8.831468,0.0,18.456603,0.0,4.509,0.0,5.4837,0.0,3.472369,0.0,6.93368,0.0,45.92,0.0,45.41,0.0,0.915395,0.0,0.900996,0.0,1.054884,0.0,1.655615,0.0,4.5518,0.0,5.4858,0.0
TFT,P2 Transformer,5,1,5.1004432,0.08979796405798951,9.456526,0.0,9.0001724,0.16165844077263614,18.44639,0.0,4.47762,0.05986863619625889,5.6159,0.0,5.07988225,0.0892514964114747,,0.0,46.634,2.339338368000664,50.0,0.0,0.9121036,0.003144730106066346,0.901106,0.0,1.0574146,0.018616644430186662,1.697482,0.0,4.50444,0.06426627731555631,5.5827,0.0
Crossformer,P3 Inverted,5,1,5.1214844,0.1599946319369497,10.416989,0.0,9.0690184,0.32613905534884974,19.929462,0.0,4.4636000000000005,0.12354451829199059,6.2749,0.0,5.1615157499999995,0.15487190802946638,,0.0,48.775999999999996,3.3458487712387712,44.9,0.0,0.9106674,0.006576412201193008,0.884564,0.0,1.061777,0.033169916780118706,1.869889,0.0,4.47008,0.11665647688834077,6.1873,0.0
