08:21:34 | ================================================================================
08:21:34 |  Reformer | XANG | H1 | walkforward | seed=9999
08:21:34 | ================================================================================
08:21:34 | Data: 4513 rows | Features: 15
08:24:56 |  Iter-01 | MAE=0.165 | MAPE=0.21%
08:29:43 |  Iter-02 | MAE=0.204 | MAPE=0.26%
08:35:49 |  Iter-03 | MAE=0.483 | MAPE=0.62%
08:40:15 |  Iter-04 | MAE=2.490 | MAPE=3.31%
08:43:27 |  Iter-05 | MAE=0.407 | MAPE=0.55%
08:45:30 |  Iter-06 | MAE=0.395 | MAPE=0.53%
08:48:31 |  Iter-07 | MAE=1.250 | MAPE=1.70%
08:51:27 |  Iter-08 | MAE=0.445 | MAPE=0.60%
09:00:06 |  Iter-09 | MAE=0.739 | MAPE=1.00%
09:03:07 |  Iter-10 | MAE=0.884 | MAPE=1.20%
09:05:40 |  Iter-11 | MAE=0.358 | MAPE=0.49%
09:08:03 |  Iter-12 | MAE=0.435 | MAPE=0.60%
09:13:25 |  Iter-13 | MAE=1.156 | MAPE=1.59%
09:16:56 |  Iter-14 | MAE=0.202 | MAPE=0.28%
09:19:27 |  Iter-15 | MAE=0.372 | MAPE=0.51%
09:23:34 |  Iter-16 | MAE=0.250 | MAPE=0.34%
09:26:00 |  Iter-17 | MAE=0.749 | MAPE=1.03%
09:30:03 |  Iter-18 | MAE=1.397 | MAPE=1.97%
09:34:03 |  Iter-19 | MAE=0.128 | MAPE=0.18%
09:36:17 |  Iter-20 | MAE=1.440 | MAPE=2.05%
09:39:29 |  Iter-21 | MAE=1.068 | MAPE=1.51%
09:42:59 |  Iter-22 | MAE=1.007 | MAPE=1.39%
09:49:33 |  Iter-23 | MAE=0.912 | MAPE=1.26%
09:52:27 |  Iter-24 | MAE=0.071 | MAPE=0.10%
09:57:58 |  Iter-25 | MAE=1.424 | MAPE=1.97%
10:01:31 |  Iter-26 | MAE=1.597 | MAPE=2.22%
10:04:57 |  Iter-27 | MAE=0.408 | MAPE=0.57%
10:07:25 |  Iter-28 | MAE=0.312 | MAPE=0.44%
10:10:31 |  Iter-29 | MAE=0.377 | MAPE=0.53%
10:14:06 |  Iter-30 | MAE=0.364 | MAPE=0.50%
10:16:12 |  Iter-31 | MAE=0.569 | MAPE=0.78%
10:20:07 |  Iter-32 | MAE=0.648 | MAPE=0.89%
10:22:38 |  Iter-33 | MAE=0.666 | MAPE=0.91%
10:27:11 |  Iter-34 | MAE=1.150 | MAPE=1.61%
10:29:58 |  Iter-35 | MAE=0.694 | MAPE=0.95%
10:32:30 |  Iter-36 | MAE=1.141 | MAPE=1.53%
10:34:54 |  Iter-37 | MAE=0.847 | MAPE=1.14%
10:37:58 |  Iter-38 | MAE=3.473 | MAPE=4.84%
