target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std,picp_mean,picp_std,pinaw_mean,pinaw_std
DAU,1,DLinear,3,7.3188666666666675,0.23593783190987652,11.982897666666666,0.42536843065316166,4.204066666666667,0.12645530172093744,5.7843219999999995,0.21267056699035683,45.0,1.7320508075688772,0.042648,0.00015280379576437642
DAU,1,GUMNetHet,3,7.056839,0.11185529767963609,11.747347333333332,0.39965346316069006,4.067566666666667,0.08596070807836187,4.818634,0.021201932270431968,63.666666666666664,2.886751345948128,0.07841533333333334,0.0034874498323751355
DAU,1,GUMNet_Adaptive,3,7.504959666666667,0.43409750489761306,12.461784,0.9677704086925786,4.278433333333333,0.20940955883945098,5.240857666666667,0.311897233186403,58.0,2.179449471770337,0.07167699999999999,0.004300987328509576
DAU,1,GUMNet_Decomp,3,7.220530666666666,0.22571034488107325,12.077751000000001,0.5327984849424777,4.123966666666667,0.13570594435518776,4.928815666666667,0.20921424045540843,64.83333333333333,0.2886751345948108,0.08448266666666666,0.001967965785610447
DAU,1,GUMNet_Fusion,3,7.5438513333333335,0.35079609189005084,12.096760666666666,0.8626528581951918,4.3459,0.1913939131738522,5.176079666666666,0.3045920024759896,58.166666666666664,3.013856886670855,0.07331333333333333,0.002957105397738356
DAU,1,GUMNet_Mamba,3,7.104514666666667,0.0875929614542935,12.042152999999999,0.23356910906410402,4.0703000000000005,0.04955734052589962,4.931741,0.030768586886628327,63.666666666666664,0.7637626158259726,0.077069,0.0004510820324508635
DAU,1,GUMNet_Patch,3,7.389350666666666,0.26365243576408176,12.045852333333334,0.25182101644686755,4.229066666666667,0.14646994003321423,5.1350283333333335,0.17194473265073634,60.833333333333336,2.516611478423584,0.072908,0.0010747515992079247
DAU,1,GUMNet_Wavelet,3,7.238466,0.1543368977820921,11.714666666666666,0.4388838048622138,4.131233333333333,0.07635144617709154,5.109187333333334,0.15676771844143592,52.166666666666664,1.1547005383792526,0.064429,0.0007948307996045454
DAU,1,GUMNet_iTrans,3,7.334125666666666,0.06582549753958046,11.690820666666667,0.3658291666028472,4.269100000000001,0.028296112807239038,5.034153666666667,0.07290496433257003,59.166666666666664,0.7637626158259743,0.06992266666666667,0.0015671178428354874
DAU,1,NBEATS,3,7.089007666666666,0.34539542435060305,11.748911,0.38560365646995576,4.076,0.17963521369709196,5.537532666666666,0.27702087203915426,50.166666666666664,1.6072751268321588,0.04506333333333334,0.00010300647228855628
