target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std
DAU,1,DLinear,4,7.23998475,0.24899906450744588,11.8903285,0.39357557978148694,4.1655,0.12888048727406287,5.71799375,0.2185183295933087
DAU,1,GUMNetHet,4,7.063509,0.0922985771612972,11.73801,0.3268496141234776,4.05765,0.0729350624414168,4.836415,0.03955170201141768
DAU,1,GUMNet_Adaptive,4,7.4481175,0.37222469488782417,12.3315125,0.8320270613445625,4.2472,0.1820356924708268,5.19186575,0.2728627633828348
DAU,1,GUMNet_Decomp,4,7.17917525,0.20200129160045002,12.00837,0.456622794381387,4.0935749999999995,0.12638044086540182,4.89533,0.18348176592784374
DAU,1,GUMNet_Fusion,4,7.4240475,0.3734306262868644,11.8942445,0.8125050729361635,4.2803249999999995,0.20401325733066156,5.08278375,0.31091376765096246
DAU,1,GUMNet_Mamba,4,7.09063075,0.07672073056818929,11.98279075,0.22464459198086614,4.066325,0.041236987846673026,4.899632,0.06895715203419221
DAU,1,GUMNet_Patch,4,7.42260325,0.22531017535000467,12.08672575,0.2212655139033571,4.247025,0.12486914150421641,5.11240475,0.14750355978387986
DAU,1,GUMNet_Wavelet,4,7.23326075,0.1264448385196089,11.68778675,0.3623572580482558,4.132925,0.06243243681506158,5.0944195,0.13136374678350182
DAU,1,GUMNet_iTrans,4,7.29701775,0.09163325816308902,11.75216725,0.32291526118304875,4.23175,0.07819123991854855,5.04951575,0.06698803599835342
DAU,1,NBEATS,4,7.15341675,0.31004212537156384,11.72571425,0.31824384272270845,4.128,0.17980139042843932,5.58120075,0.24246233048644217
DAU,1,NHits,4,7.273009,0.05657505429663063,11.74333275,0.08540608128767373,4.2024,0.05084191184446171,5.69272475,0.03925718461950615
DAU,1,PatchTST,4,7.18838025,0.11518301731121965,12.0317605,0.21056702922110127,4.1311,0.06111693709602895,5.67964825,0.10730160325417631
DAU,1,TFT,4,7.0747107499999995,0.12467754810810908,11.61534225,0.060869498877379774,4.069100000000001,0.0715886396946705,5.55140575,0.09374511653903234
DAU,1,TimeMixer,1,7.15003,,11.802588,,4.1677,,5.653293,
DAU,1,TimesNet,1,6.83291,,11.169296,,3.9324,,5.259809,
DAU,1,iTransformer,1,7.656947,,12.566053,,4.4297,,6.029605,
DAU,3,DLinear,4,10.78997525,0.2876266611858454,18.08567075,0.48743745375885605,6.190325,0.14419869104815028,8.55170875,0.22345697507182533
DAU,3,GUMNetHet,4,10.623948,0.2160634997556656,17.385196999999998,0.27949768405838454,6.08185,0.1169441034568797,7.3253375,0.12349022777666793
DAU,3,GUMNet_Adaptive,4,11.13876525,0.26417304572744826,18.50419075,0.9707588688118781,6.365475,0.1687590466710843,7.945995750000001,0.1689562461810255
