target,horizon,model,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,crps_mean,crps_std
DAU,1,DLinear,5,7.2358574,0.21583691918738065,11.832613,0.36446083116228006,4.162319999999999,0.11184005096565322,5.708946,0.19032079281176795
DAU,1,GUMNetHet,5,7.050975800000001,0.08470345931955763,11.68469,0.30714510363914244,4.0499600000000004,0.06546237850857575,4.827618599999999,0.03949855837622413
DAU,1,GUMNet_Adaptive,5,7.346704,0.3941280344310721,12.125407,0.8553356994528525,4.203860000000001,0.18505275734233206,5.111396,0.2970142573278262
DAU,1,GUMNet_Decomp,5,7.1978958,0.17987686432028996,12.0280484,0.39788752103364566,4.10628,0.11307562513645458,4.904256999999999,0.16014876042604895
DAU,1,GUMNet_Fusion,5,7.474333,0.3423901021320561,12.1498898,0.9065847821470977,4.3137,0.19179549004082458,5.0885696,0.2695698582692435
DAU,1,GUMNet_Mamba,5,7.163257799999999,0.17546508151965734,12.101377600000001,0.3288815888648985,4.103759999999999,0.09100693929585792,4.9465786000000005,0.12077347751182774
DAU,1,GUMNet_Patch,5,7.321707000000001,0.29828471743872464,11.9934884,0.2831692742994904,4.1906,0.1661719892159927,5.0527086,0.1847596458532001
DAU,1,GUMNet_Wavelet,5,7.2609546,0.1258013097320531,11.7507338,0.3439313047160729,4.14578,0.06123407548089523,5.1107752,0.11949841040449033
DAU,1,GUMNet_iTrans,5,7.265132400000001,0.106681152151165,11.6319018,0.3879749885587983,4.20596,0.08894393177727193,5.0364614,0.06494326750941946
DAU,1,NBEATS,5,7.1960924,0.2849572689778239,11.7346266,0.27632681282459637,4.1525,0.1650686372391801,5.6252054000000005,0.23189012999004527
DAU,1,NHits,5,7.305946399999999,0.08845854492529268,11.802043000000001,0.15068216986757263,4.22232,0.06263151762491438,5.7246338,0.0790365881582699
DAU,1,PatchTST,5,7.1904582,0.0998595763494921,12.0382688,0.18293617791650746,4.13346,0.05319123988026571,5.680864,0.09296566993250785
DAU,1,TFT,5,7.07688,0.10808282231464854,11.5597066,0.13511272950688263,4.07028,0.06205370254867969,5.522293400000001,0.10406130293629828
DAU,1,TimeMixer,1,7.15003,,11.802588,,4.1677,,5.653293,
DAU,1,TimesNet,1,6.83291,,11.169296,,3.9324,,5.259809,
DAU,1,iTransformer,1,7.656947,,12.566053,,4.4297,,6.029605,
DAU,3,DLinear,5,10.790238800000001,0.24909269250963653,18.0184684,0.4480817254952493,6.19208,0.12494137425208637,8.550830000000001,0.19352939257125848
DAU,3,GUMNetHet,5,10.7194998,0.28401286830212424,17.493501000000002,0.34240034845995826,6.130380000000001,0.14843431880801689,7.4071359999999995,0.21187814960136886
DAU,3,GUMNet_Adaptive,5,11.106464599999999,0.23991083451732628,18.3749438,0.8889901329341063,6.34324,0.15437515344121902,7.914027800000001,0.16284780925360956
DAU,3,GUMNet_Decomp,5,10.936030800000001,0.5432248995956466,17.6387646,0.50187794671643,6.2827399999999995,0.2485596266492206,7.4062692,0.31764993156570975
DAU,3,GUMNet_Fusion,5,10.7248564,0.4221962020409469,17.6329104,0.36015090064832517,6.16028,0.24088716653238285,7.273010000000001,0.19711094915681363
DAU,3,GUMNet_Mamba,5,10.8330532,0.26220935083192587,17.818272999999998,0.260878617041527,6.1733199999999995,0.1552571640859125,7.528472600000001,0.2271374107160684
DAU,3,GUMNet_Patch,5,10.8174312,0.14844822105603073,17.6702728,0.22162506932249437,6.19658,0.09348779064669367,7.4940625999999995,0.12112236250090236
DAU,3,GUMNet_Wavelet,5,9.9821748,0.5161934334483539,16.1038174,1.3317293603586648,5.80222,0.2607998696318693,6.8928275999999995,0.2817065687507127
DAU,3,GUMNet_iTrans,5,11.0689802,0.2170650916008837,18.227775,0.34432116338166047,6.30098,0.11738763563510447,7.5687956,0.1487291958839955
DAU,3,NBEATS,5,10.848949600000001,0.18957660895479697,17.5542886,0.3729010314014969,6.2764,0.11745963136328991,8.4484466,0.11412215610607734
DAU,3,NHits,5,11.038515,0.23246918415243756,18.1477934,0.4444612752431863,6.3742,0.12267379508273145,8.674532,0.22010823630318813
DAU,3,PatchTST,5,11.7545106,0.1052732076826767,18.6087696,0.3413958298482865,6.6863399999999995,0.06011520606302531,9.2096336,0.10159736355978895
DAU,3,TFT,5,11.2274136,0.44879700166255504,18.2905568,0.5659923197294296,6.47792,0.25013036001253425,8.7860312,0.41548195995578463
DAU,3,TimeMixer,1,11.020993,,17.878326,,6.4041,,8.703588,
DAU,3,TimesNet,1,11.036525,,17.910053,,6.4895,,8.614499,
