Baseline_Model,Champion_Model,Target,Horizon,Cliff_Delta,A12,Magnitude
TTM,GUMNet_Fusion,DAU,10,0.01954306377383297,0.5097715318869165,negligible
Chronos,GUMNet_Fusion,DAU,10,0.008392504930966549,0.5041962524654833,negligible
TimesFM,GUMNet_Fusion,DAU,10,0.020614727153188683,0.5103073635765943,negligible
Moirai,GUMNet_Fusion,DAU,10,0.01568376068376076,0.5078418803418804,negligible
DLinear,GUMNet_Fusion,DAU,20,-0.04214444444444443,0.4789277777777778,negligible
RLinear,GUMNet_Fusion,DAU,20,-0.009533333333333283,0.49523333333333336,negligible
LTSF_Linear,GUMNet_Fusion,DAU,20,-0.02371666666666672,0.48814166666666664,negligible
PatchTST,GUMNet_Fusion,DAU,20,-0.020161111111111074,0.48991944444444446,negligible
TFT,GUMNet_Fusion,DAU,20,0.036566666666666636,0.5182833333333333,negligible
Autoformer,GUMNet_Fusion,DAU,20,-0.046566666666666645,0.4767166666666667,negligible
iTransformer,GUMNet_Fusion,DAU,20,-0.0609277777777778,0.4695361111111111,negligible
TimesNet,GUMNet_Fusion,DAU,20,-0.0531166666666667,0.47344166666666665,negligible
TimeMixer,GUMNet_Fusion,DAU,20,0.030899999999999928,0.51545,negligible
TTM,GUMNet_Fusion,DAU,20,-0.04915555555555551,0.47542222222222225,negligible
Chronos,GUMNet_Fusion,DAU,20,-0.0418277777777778,0.4790861111111111,negligible
TimesFM,GUMNet_Fusion,DAU,20,-0.049627777777777826,0.4751861111111111,negligible
Moirai,GUMNet_Fusion,DAU,20,-0.017955555555555502,0.49102222222222225,negligible
DLinear,GUMNet_Fusion,DAU,60,0.05047902494331069,0.5252395124716553,negligible
RLinear,GUMNet_Fusion,DAU,60,0.03719423185941051,0.5185971159297053,negligible
LTSF_Linear,GUMNet_Fusion,DAU,60,0.02825148809523803,0.514125744047619,negligible
PatchTST,GUMNet_Fusion,DAU,60,0.018212514172335492,0.5091062570861677,negligible
TFT,GUMNet_Fusion,DAU,60,0.21973728032879825,0.6098686401643991,small
Autoformer,GUMNet_Fusion,DAU,60,0.028878082482993284,0.5144390412414966,negligible
iTransformer,GUMNet_Fusion,DAU,60,0.03468749999999998,0.51734375,negligible
TimesNet,GUMNet_Fusion,DAU,60,0.11573076105442182,0.5578653805272109,negligible
TimeMixer,GUMNet_Fusion,DAU,60,0.0334906462585034,0.5167453231292517,negligible
TTM,GUMNet_Fusion,DAU,60,0.023495252267573763,0.5117476261337869,negligible
Chronos,GUMNet_Fusion,DAU,60,-0.0006672512755101501,0.4996663743622449,negligible
TimesFM,GUMNet_Fusion,DAU,60,0.033360792233560144,0.5166803961167801,negligible
Moirai,GUMNet_Fusion,DAU,60,-0.0015270691609977627,0.4992364654195011,negligible
DLinear,GUMNet_Fusion,XANG,1,-0.01373599999999997,0.493132,negligible
RLinear,GUMNet_Fusion,XANG,1,0.009740000000000082,0.50487,negligible
LTSF_Linear,GUMNet_Fusion,XANG,1,-0.011854000000000031,0.494073,negligible
NBEATS,GUMNet_Fusion,XANG,1,-0.006206000000000045,0.496897,negligible
NHits,GUMNet_Fusion,XANG,1,0.013047999999999949,0.506524,negligible
PatchTST,GUMNet_Fusion,XANG,1,-0.017684000000000033,0.491158,negligible
TFT,GUMNet_Fusion,XANG,1,-0.018237999999999976,0.490881,negligible
Autoformer,GUMNet_Fusion,XANG,1,0.004397999999999902,0.502199,negligible
FedFormer,GUMNet_Fusion,XANG,1,0.0011820000000000164,0.500591,negligible
Informer,GUMNet_Fusion,XANG,1,0.036246,0.518123,negligible
Reformer,GUMNet_Fusion,XANG,1,-0.0046599999999999975,0.49767,negligible
iTransformer,GUMNet_Fusion,XANG,1,0.010081999999999924,0.505041,negligible
UniTS,GUMNet_Fusion,XANG,1,0.04050799999999999,0.520254,negligible
TimeXer,GUMNet_Fusion,XANG,1,0.0040999999999999925,0.50205,negligible
Crossformer,GUMNet_Fusion,XANG,1,0.006621999999999906,0.503311,negligible
CARD,GUMNet_Fusion,XANG,1,0.0038320000000000576,0.501916,negligible
TimesNet,GUMNet_Fusion,XANG,1,-0.0035720000000000196,0.498214,negligible
TimeMixer,GUMNet_Fusion,XANG,1,-0.007881999999999945,0.496059,negligible
TTM,GUMNet_Fusion,XANG,1,0.008469999999999978,0.504235,negligible
FITS,GUMNet_Fusion,XANG,1,-0.003054000000000001,0.498473,negligible
