Target,Horizon,Model,Loss_Type,MCS_pvalue,In_MCS
DAU,5,GUMNet_Diffusion,mae,1.0,1
DAU,5,GUMNet_Fourier,mae,1.0,1
DAU,5,GUMNet_Fusion,mae,1.0,1
DAU,5,GUMNet_Graph,mae,0.053,0
DAU,5,GUMNet_Mamba,mae,1.0,1
DAU,5,GUMNet_MoE_Sparse,mae,1.0,1
DAU,5,GUMNet_Patch,mae,1.0,1
DAU,5,GUMNet_RL,mae,1.0,1
DAU,5,GUMNet_Wavelet,mae,1.0,1
DAU,5,GUMNet_iTrans,mae,1.0,1
DAU,5,LTSF_Linear,mae,1.0,1
DAU,5,Moirai,mae,1.0,1
DAU,5,PatchTST,mae,1.0,1
DAU,5,RLinear,mae,1.0,1
DAU,5,TFT,mae,1.0,1
DAU,5,TTM,mae,1.0,1
DAU,5,TimeMixer,mae,1.0,1
DAU,5,TimesFM,mae,1.0,1
DAU,5,TimesNet,mae,0.063,0
DAU,5,iTransformer,mae,1.0,1
DAU,5,Autoformer,mse,0.028,0
DAU,5,Chronos,mse,1.0,1
DAU,5,DLinear,mse,1.0,1
DAU,5,GUMNet,mse,1.0,1
DAU,5,GUMNetHet,mse,1.0,1
DAU,5,GUMNet_Adaptive,mse,1.0,1
DAU,5,GUMNet_Decomp,mse,1.0,1
DAU,5,GUMNet_Diffusion,mse,1.0,1
DAU,5,GUMNet_Fourier,mse,1.0,1
DAU,5,GUMNet_Fusion,mse,1.0,1
DAU,5,GUMNet_Graph,mse,0.053,0
DAU,5,GUMNet_Mamba,mse,1.0,1
DAU,5,GUMNet_MoE_Sparse,mse,1.0,1
DAU,5,GUMNet_Patch,mse,1.0,1
DAU,5,GUMNet_RL,mse,1.0,1
DAU,5,GUMNet_Wavelet,mse,1.0,1
DAU,5,GUMNet_iTrans,mse,1.0,1
DAU,5,LTSF_Linear,mse,1.0,1
DAU,5,Moirai,mse,1.0,1
DAU,5,PatchTST,mse,1.0,1
DAU,5,RLinear,mse,1.0,1
DAU,5,TFT,mse,1.0,1
DAU,5,TTM,mse,1.0,1
DAU,5,TimeMixer,mse,1.0,1
DAU,5,TimesFM,mse,1.0,1
DAU,5,TimesNet,mse,0.053,0
DAU,5,iTransformer,mse,1.0,1
DAU,7,Autoformer,mae,1.0,1
DAU,7,Chronos,mae,1.0,1
DAU,7,DLinear,mae,1.0,1
DAU,7,GUMNet,mae,0.018,0
DAU,7,GUMNetHet,mae,1.0,1
DAU,7,GUMNet_Adaptive,mae,1.0,1
DAU,7,GUMNet_Decomp,mae,1.0,1
DAU,7,GUMNet_Diffusion,mae,1.0,1
DAU,7,GUMNet_Fourier,mae,1.0,1
DAU,7,GUMNet_Fusion,mae,1.0,1
DAU,7,GUMNet_Graph,mae,1.0,1
DAU,7,GUMNet_Mamba,mae,1.0,1
DAU,7,GUMNet_MoE_Sparse,mae,1.0,1
DAU,7,GUMNet_Patch,mae,1.0,1
DAU,7,GUMNet_RL,mae,1.0,1
DAU,7,GUMNet_Wavelet,mae,1.0,1
DAU,7,GUMNet_iTrans,mae,1.0,1
DAU,7,LTSF_Linear,mae,1.0,1
DAU,7,Moirai,mae,1.0,1
DAU,7,PatchTST,mae,1.0,1
DAU,7,RLinear,mae,0.036,0
DAU,7,TFT,mae,1.0,1
DAU,7,TTM,mae,1.0,1
DAU,7,TimeMixer,mae,1.0,1
DAU,7,TimesFM,mae,1.0,1
DAU,7,TimesNet,mae,0.018,0
DAU,7,iTransformer,mae,1.0,1
DAU,7,Autoformer,mse,1.0,1
DAU,7,Chronos,mse,1.0,1
DAU,7,DLinear,mse,1.0,1
DAU,7,GUMNet,mse,1.0,1
DAU,7,GUMNetHet,mse,1.0,1
DAU,7,GUMNet_Adaptive,mse,1.0,1
DAU,7,GUMNet_Decomp,mse,1.0,1
DAU,7,GUMNet_Diffusion,mse,1.0,1
DAU,7,GUMNet_Fourier,mse,1.0,1
DAU,7,GUMNet_Fusion,mse,1.0,1
DAU,7,GUMNet_Graph,mse,1.0,1
DAU,7,GUMNet_Mamba,mse,1.0,1
DAU,7,GUMNet_MoE_Sparse,mse,0.093,0
DAU,7,GUMNet_Patch,mse,1.0,1
DAU,7,GUMNet_RL,mse,1.0,1
DAU,7,GUMNet_Wavelet,mse,1.0,1
DAU,7,GUMNet_iTrans,mse,1.0,1
DAU,7,LTSF_Linear,mse,1.0,1
DAU,7,Moirai,mse,1.0,1
DAU,7,PatchTST,mse,1.0,1
DAU,7,RLinear,mse,1.0,1
DAU,7,TFT,mse,1.0,1
DAU,7,TTM,mse,1.0,1
DAU,7,TimeMixer,mse,1.0,1
DAU,7,TimesFM,mse,1.0,1
DAU,7,TimesNet,mse,1.0,1
DAU,7,iTransformer,mse,1.0,1
DAU,10,Autoformer,mae,1.0,1
DAU,10,Chronos,mae,1.0,1
DAU,10,DLinear,mae,1.0,1
DAU,10,GUMNet,mae,1.0,1
DAU,10,GUMNetHet,mae,1.0,1
DAU,10,GUMNet_Adaptive,mae,1.0,1
DAU,10,GUMNet_Decomp,mae,1.0,1
DAU,10,GUMNet_Diffusion,mae,1.0,1
DAU,10,GUMNet_Fourier,mae,1.0,1
DAU,10,GUMNet_Fusion,mae,1.0,1
DAU,10,GUMNet_Graph,mae,1.0,1
DAU,10,GUMNet_Mamba,mae,1.0,1
DAU,10,GUMNet_MoE_Sparse,mae,1.0,1
DAU,10,GUMNet_Patch,mae,1.0,1
DAU,10,GUMNet_RL,mae,1.0,1
DAU,10,GUMNet_Wavelet,mae,1.0,1
DAU,10,GUMNet_iTrans,mae,1.0,1
DAU,10,LTSF_Linear,mae,1.0,1
DAU,10,Moirai,mae,1.0,1
DAU,10,PatchTST,mae,1.0,1
DAU,10,RLinear,mae,1.0,1
DAU,10,TFT,mae,1.0,1
DAU,10,TTM,mae,1.0,1
DAU,10,TimeMixer,mae,1.0,1
DAU,10,TimesFM,mae,1.0,1
DAU,10,TimesNet,mae,1.0,1
DAU,10,iTransformer,mae,1.0,1
DAU,10,Autoformer,mse,1.0,1
DAU,10,Chronos,mse,1.0,1
DAU,10,DLinear,mse,1.0,1
DAU,10,GUMNet,mse,1.0,1
DAU,10,GUMNetHet,mse,1.0,1
DAU,10,GUMNet_Adaptive,mse,1.0,1
DAU,10,GUMNet_Decomp,mse,1.0,1
DAU,10,GUMNet_Diffusion,mse,1.0,1
DAU,10,GUMNet_Fourier,mse,1.0,1
DAU,10,GUMNet_Fusion,mse,1.0,1
DAU,10,GUMNet_Graph,mse,1.0,1
DAU,10,GUMNet_Mamba,mse,1.0,1
DAU,10,GUMNet_MoE_Sparse,mse,1.0,1
DAU,10,GUMNet_Patch,mse,1.0,1
DAU,10,GUMNet_RL,mse,1.0,1
DAU,10,GUMNet_Wavelet,mse,1.0,1
DAU,10,GUMNet_iTrans,mse,1.0,1
DAU,10,LTSF_Linear,mse,1.0,1
DAU,10,Moirai,mse,1.0,1
DAU,10,PatchTST,mse,1.0,1
DAU,10,RLinear,mse,1.0,1
DAU,10,TFT,mse,1.0,1
DAU,10,TTM,mse,1.0,1
DAU,10,TimeMixer,mse,1.0,1
DAU,10,TimesFM,mse,1.0,1
DAU,10,TimesNet,mse,1.0,1
DAU,10,iTransformer,mse,1.0,1
DAU,20,Autoformer,mae,0.008,0
DAU,20,Chronos,mae,0.019,0
DAU,20,DLinear,mae,0.015,0
DAU,20,GUMNet,mae,0.05,0
DAU,20,GUMNetHet,mae,1.0,1
DAU,20,GUMNet_Adaptive,mae,0.014,0
DAU,20,GUMNet_Decomp,mae,0.019,0
DAU,20,GUMNet_Diffusion,mae,0.007,0
DAU,20,GUMNet_Fourier,mae,0.005,0
DAU,20,GUMNet_Fusion,mae,0.003,0
DAU,20,GUMNet_Graph,mae,0.013,0
DAU,20,GUMNet_Mamba,mae,0.024,0
DAU,20,GUMNet_MoE_Sparse,mae,0.018,0
DAU,20,GUMNet_Patch,mae,0.008,0
DAU,20,GUMNet_RL,mae,0.01,0
DAU,20,GUMNet_Wavelet,mae,0.016,0
DAU,20,GUMNet_iTrans,mae,0.023,0
DAU,20,LTSF_Linear,mae,0.019,0
DAU,20,Moirai,mae,0.024,0
DAU,20,PatchTST,mae,0.005,0
DAU,20,RLinear,mae,0.01,0
DAU,20,TFT,mae,0.011,0
DAU,20,TTM,mae,0.021,0
DAU,20,TimeMixer,mae,0.024,0
DAU,20,TimesFM,mae,0.009,0
DAU,20,TimesNet,mae,0.007,0
DAU,20,iTransformer,mae,0.028,0
DAU,20,Autoformer,mse,0.06,0
DAU,20,Chronos,mse,0.016,0
DAU,20,DLinear,mse,0.034,0
DAU,20,GUMNet,mse,0.013,0
DAU,20,GUMNetHet,mse,1.0,1
DAU,20,GUMNet_Adaptive,mse,0.019,0
DAU,20,GUMNet_Decomp,mse,0.002,0
DAU,20,GUMNet_Diffusion,mse,0.061,0
DAU,20,GUMNet_Fourier,mse,0.011,0
DAU,20,GUMNet_Fusion,mse,0.013,0
DAU,20,GUMNet_Graph,mse,0.019,0
DAU,20,GUMNet_Mamba,mse,0.02,0
DAU,20,GUMNet_MoE_Sparse,mse,0.027,0
DAU,20,GUMNet_Patch,mse,0.021,0
DAU,20,GUMNet_RL,mse,0.065,0
DAU,20,GUMNet_Wavelet,mse,0.029,0
DAU,20,GUMNet_iTrans,mse,0.011,0
DAU,20,LTSF_Linear,mse,0.034,0
DAU,20,Moirai,mse,0.025,0
DAU,20,PatchTST,mse,0.012,0
DAU,20,RLinear,mse,0.068,0
DAU,20,TFT,mse,0.034,0
DAU,20,TTM,mse,0.031,0
DAU,20,TimeMixer,mse,0.038,0
DAU,20,TimesFM,mse,0.003,0
DAU,20,TimesNet,mse,0.015,0
DAU,20,iTransformer,mse,0.014,0
DAU,60,Autoformer,mae,1.0,1
DAU,60,Chronos,mae,1.0,1
DAU,60,DLinear,mae,0.016,0
DAU,60,GUMNet,mae,1.0,1
DAU,60,GUMNetHet,mae,1.0,1
DAU,60,GUMNet_Adaptive,mae,1.0,1
DAU,60,GUMNet_Decomp,mae,1.0,1
DAU,60,GUMNet_Diffusion,mae,1.0,1
DAU,60,GUMNet_Fourier,mae,1.0,1
DAU,60,GUMNet_Fusion,mae,1.0,1
DAU,60,GUMNet_Graph,mae,1.0,1
DAU,60,GUMNet_Mamba,mae,1.0,1
DAU,60,GUMNet_MoE_Sparse,mae,1.0,1
DAU,60,GUMNet_Patch,mae,1.0,1
DAU,60,GUMNet_RL,mae,1.0,1
DAU,60,GUMNet_Wavelet,mae,1.0,1
DAU,60,GUMNet_iTrans,mae,1.0,1
DAU,60,LTSF_Linear,mae,0.0,0
DAU,60,Moirai,mae,1.0,1
DAU,60,PatchTST,mae,0.0,0
DAU,60,RLinear,mae,1.0,1
DAU,60,TFT,mae,0.0,0
DAU,60,TTM,mae,0.061,0
DAU,60,TimeMixer,mae,1.0,1
DAU,60,TimesFM,mae,0.008,0
DAU,60,TimesNet,mae,0.071,0
DAU,60,iTransformer,mae,1.0,1
DAU,60,Autoformer,mse,0.01,0
DAU,60,Chronos,mse,0.049,0
DAU,60,DLinear,mse,0.003,0
DAU,60,GUMNet,mse,0.019,0
DAU,60,GUMNetHet,mse,1.0,1
DAU,60,GUMNet_Adaptive,mse,1.0,1
DAU,60,GUMNet_Decomp,mse,0.053,0
DAU,60,GUMNet_Diffusion,mse,0.026,0
DAU,60,GUMNet_Fourier,mse,0.003,0
DAU,60,GUMNet_Fusion,mse,1.0,1
DAU,60,GUMNet_Graph,mse,1.0,1
DAU,60,GUMNet_Mamba,mse,1.0,1
DAU,60,GUMNet_MoE_Sparse,mse,0.031,0
DAU,60,GUMNet_Patch,mse,1.0,1
DAU,60,GUMNet_RL,mse,1.0,1
DAU,60,GUMNet_Wavelet,mse,1.0,1
DAU,60,GUMNet_iTrans,mse,0.042,0
DAU,60,LTSF_Linear,mse,0.001,0
DAU,60,Moirai,mse,0.016,0
DAU,60,PatchTST,mse,0.0,0
DAU,60,RLinear,mse,1.0,1
DAU,60,TFT,mse,0.001,0
DAU,60,TTM,mse,1.0,1
DAU,60,TimeMixer,mse,0.009,0
DAU,60,TimesFM,mse,0.002,0
DAU,60,TimesNet,mse,0.025,0
DAU,60,iTransformer,mse,0.015,0
XANG,1,Autoformer,mae,1.0,1
XANG,1,BiMamba,mae,1.0,1
XANG,1,CARD,mae,1.0,1
XANG,1,Chronos,mae,1.0,1
XANG,1,CoST,mae,1.0,1
XANG,1,Crossformer,mae,1.0,1
XANG,1,DLinear,mae,1.0,1
XANG,1,FITS,mae,1.0,1
XANG,1,FedFormer,mae,1.0,1
XANG,1,GPT4TS,mae,1.0,1
XANG,1,GUMNet,mae,1.0,1
XANG,1,GUMNetHet,mae,1.0,1
XANG,1,GUMNet_Adaptive,mae,1.0,1
XANG,1,GUMNet_Decomp,mae,1.0,1
XANG,1,GUMNet_Diffusion,mae,1.0,1
XANG,1,GUMNet_Fourier,mae,1.0,1
XANG,1,GUMNet_Fusion,mae,1.0,1
XANG,1,GUMNet_Graph,mae,1.0,1
XANG,1,GUMNet_Mamba,mae,1.0,1
XANG,1,GUMNet_MoE_Sparse,mae,1.0,1
XANG,1,GUMNet_Patch,mae,1.0,1
XANG,1,GUMNet_RL,mae,1.0,1
XANG,1,GUMNet_Wavelet,mae,1.0,1
XANG,1,GUMNet_iTrans,mae,1.0,1
XANG,1,Gated_TabNet,mae,1.0,1
XANG,1,Informer,mae,1.0,1
XANG,1,LTSF_Linear,mae,1.0,1
XANG,1,Lag_Llama,mae,1.0,1
XANG,1,MambaFormer,mae,1.0,1
XANG,1,Moirai,mae,1.0,1
XANG,1,NBEATS,mae,1.0,1
XANG,1,NHits,mae,1.0,1
XANG,1,PatchTST,mae,1.0,1
XANG,1,RLinear,mae,1.0,1
XANG,1,Reformer,mae,1.0,1
XANG,1,S_Mamba,mae,1.0,1
XANG,1,TEMPO,mae,1.0,1
XANG,1,TFT,mae,1.0,1
XANG,1,TTM,mae,1.0,1
XANG,1,TimeMachine,mae,1.0,1
XANG,1,TimeMixer,mae,1.0,1
XANG,1,TimeXer,mae,1.0,1
XANG,1,Time_MoE,mae,1.0,1
XANG,1,TimesFM,mae,1.0,1
XANG,1,TimesNet,mae,1.0,1
XANG,1,UniTS,mae,1.0,1
XANG,1,iTransformer,mae,1.0,1
XANG,1,Autoformer,mse,1.0,1
XANG,1,BiMamba,mse,1.0,1
XANG,1,CARD,mse,1.0,1
XANG,1,Chronos,mse,1.0,1
XANG,1,CoST,mse,1.0,1
XANG,1,Crossformer,mse,1.0,1
XANG,1,DLinear,mse,1.0,1
XANG,1,FITS,mse,1.0,1
XANG,1,FedFormer,mse,1.0,1
XANG,1,GPT4TS,mse,1.0,1
XANG,1,GUMNet,mse,1.0,1
XANG,1,GUMNetHet,mse,1.0,1
XANG,1,GUMNet_Adaptive,mse,1.0,1
XANG,1,GUMNet_Decomp,mse,1.0,1
XANG,1,GUMNet_Diffusion,mse,1.0,1
XANG,1,GUMNet_Fourier,mse,1.0,1
XANG,1,GUMNet_Fusion,mse,1.0,1
XANG,1,GUMNet_Graph,mse,1.0,1
XANG,1,GUMNet_Mamba,mse,1.0,1
XANG,1,GUMNet_MoE_Sparse,mse,1.0,1
XANG,1,GUMNet_Patch,mse,1.0,1
XANG,1,GUMNet_RL,mse,1.0,1
XANG,1,GUMNet_Wavelet,mse,1.0,1
XANG,1,GUMNet_iTrans,mse,1.0,1
XANG,1,Gated_TabNet,mse,1.0,1
XANG,1,Informer,mse,1.0,1
XANG,1,LTSF_Linear,mse,1.0,1
XANG,1,Lag_Llama,mse,1.0,1
XANG,1,MambaFormer,mse,1.0,1
XANG,1,Moirai,mse,1.0,1
XANG,1,NBEATS,mse,1.0,1
XANG,1,NHits,mse,1.0,1
XANG,1,PatchTST,mse,1.0,1
XANG,1,RLinear,mse,1.0,1
XANG,1,Reformer,mse,1.0,1
XANG,1,S_Mamba,mse,1.0,1
XANG,1,TEMPO,mse,1.0,1
XANG,1,TFT,mse,1.0,1
XANG,1,TTM,mse,1.0,1
XANG,1,TimeMachine,mse,1.0,1
XANG,1,TimeMixer,mse,1.0,1
XANG,1,TimeXer,mse,1.0,1
XANG,1,Time_MoE,mse,1.0,1
XANG,1,TimesFM,mse,1.0,1
XANG,1,TimesNet,mse,1.0,1
XANG,1,UniTS,mse,1.0,1
XANG,1,iTransformer,mse,1.0,1
XANG,3,Autoformer,mae,1.0,1
XANG,3,BiMamba,mae,1.0,1
XANG,3,CARD,mae,1.0,1
XANG,3,Chronos,mae,1.0,1
XANG,3,CoST,mae,1.0,1
XANG,3,Crossformer,mae,1.0,1
XANG,3,DLinear,mae,1.0,1
XANG,3,FITS,mae,1.0,1
XANG,3,FedFormer,mae,0.08,0
XANG,3,GPT4TS,mae,1.0,1
XANG,3,GUMNet,mae,1.0,1
XANG,3,GUMNetHet,mae,1.0,1
XANG,3,GUMNet_Adaptive,mae,1.0,1
XANG,3,GUMNet_Decomp,mae,1.0,1
XANG,3,GUMNet_Diffusion,mae,0.001,0
XANG,3,GUMNet_Fourier,mae,1.0,1
XANG,3,GUMNet_Fusion,mae,1.0,1
XANG,3,GUMNet_Graph,mae,1.0,1
XANG,3,GUMNet_Mamba,mae,1.0,1
XANG,3,GUMNet_MoE_Sparse,mae,1.0,1
XANG,3,GUMNet_Patch,mae,1.0,1
XANG,3,GUMNet_RL,mae,1.0,1
XANG,3,GUMNet_Wavelet,mae,1.0,1
XANG,3,GUMNet_iTrans,mae,1.0,1
XANG,3,Gated_TabNet,mae,1.0,1
XANG,3,Informer,mae,1.0,1
XANG,3,LTSF_Linear,mae,1.0,1
XANG,3,Lag_Llama,mae,1.0,1
XANG,3,MambaFormer,mae,1.0,1
XANG,3,Moirai,mae,1.0,1
XANG,3,NBEATS,mae,1.0,1
XANG,3,NHits,mae,1.0,1
XANG,3,PatchTST,mae,1.0,1
XANG,3,RLinear,mae,1.0,1
XANG,3,Reformer,mae,1.0,1
XANG,3,S_Mamba,mae,1.0,1
XANG,3,TEMPO,mae,1.0,1
XANG,3,TFT,mae,1.0,1
XANG,3,TTM,mae,1.0,1
XANG,3,TimeMachine,mae,1.0,1
XANG,3,TimeMixer,mae,1.0,1
XANG,3,TimeXer,mae,1.0,1
