,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,0.0,1.1101779581029145,-0.27432937950552017,-1.0602214330835582,2.1542252402406854,1.5390662819880738,1.5454336963126878,0.22437315901534705,1.980044790650653,1.4545564195461294,0.34095588195147325,-0.028135323689181636,-1.034560302241777,1.4854811325977602,1.2704637987360947,1.4231768596879675,1.4669292340806637,0.019691712249811828,0.48363419313854283,0.8103161463416063,0.5153189618542083,1.539671273740555,1.101616221574286,0.48009408322006636,1.6151492460064116,0.759988500587612,-0.26199866456740667
Chronos,-1.1101779581029145,0.0,-0.7591145440992262,-1.4697777867646455,2.1253381509391325,0.896763775653463,1.1321360678458001,-0.14880683854648585,1.4628143143881087,0.7766273236902326,-0.0020277919211653932,-0.6569354730944256,-1.2888149522229448,0.4771620003418057,0.5463739222332041,0.33640758314983393,0.907961707377981,-0.6955405279025617,-0.5786273154893864,-0.7823549019250057,-0.26451203048509214,1.1902550047404945,0.6134883900413821,-0.29966422799108955,1.1290251601452492,-0.004488339831002941,-0.8030546837973342
DLinear,0.27432937950552017,0.7591145440992262,0.0,-0.42221445679610003,2.1515061182875814,1.1197151503102158,1.1787142479183228,0.4016044817331486,1.3736737656610463,1.1303570497687834,0.38812984260409067,0.20403236420518447,-0.30991687523330963,1.0454714308848583,0.9646788713907849,0.8425850385929717,1.2155781097706992,0.6114005185811637,0.49439433400599203,0.5031175323343903,0.5040490357651669,1.4271158364416276,0.9225110738300885,0.641970472304121,1.029613550826983,0.858071342063976,0.027238566286513204
GUMNet,1.0602214330835582,1.4697777867646455,0.42221445679610003,0.0,2.095307004802821,1.8892332810187598,1.7320516149347465,0.8929223505963352,2.0599263101824494,1.9423717865269725,0.8221099038270332,0.9071404964674745,0.11818347316458115,1.849484494042377,1.707908793168682,1.7514662278635706,1.7894178074097062,0.6861318701670811,1.6455107792708492,1.347126071136237,1.5410170989490788,1.7042442378435112,1.301914061307772,1.250240786777002,1.6459504785399282,1.3763652935211526,1.5681470292574813
GUMNetHet,-2.1542252402406854,-2.1253381509391325,-2.1515061182875814,-2.095307004802821,0.0,-0.7147889434275867,-1.9688885544179493,-1.1049094469151337,-0.9366762480383699,-0.5502673209674218,-0.6452132157162375,-1.7554894560462748,-1.9337266029798592,-1.1159061570522435,-0.9607446703436259,-1.2004000006565552,-0.7044690595747949,-2.5839324843533396,-2.081628524720933,-1.9191855848739423,-1.4475295451509655,-0.6713090417356764,-0.9375956342762466,-1.8749544186466387,-1.515305132860949,-1.447965586119059,-1.6548334517813639
GUMNet_Adaptive,-1.5390662819880738,-0.896763775653463,-1.1197151503102158,-1.8892332810187598,0.7147889434275867,0.0,-0.35818430752917674,-0.7029486966913004,0.21483429627115244,0.13687017237875057,-0.4973552894909151,-2.1910737094398756,-2.44520213914485,-0.713068477373026,-0.955780644588517,-1.105853719013953,0.17725729024518716,-1.17476710398314,-1.2405723769408021,-1.1948129813415922,-1.397530455300704,0.34535054973862583,-0.33675604048620106,-1.2667502256888743,-0.4352803683252771,-0.9817628543462856,-1.525248463333261
GUMNet_Decomp,-1.5454336963126878,-1.1321360678458001,-1.1787142479183228,-1.7320516149347465,1.9688885544179493,0.35818430752917674,0.0,-0.44805468504712603,0.7415595142633495,0.32591355409481987,-0.2294331893963565,-1.217840570510383,-1.5991199806935341,-0.10093227227960873,0.001832589343630856,-0.3448654025791126,0.4780393849764599,-1.3169691636822765,-1.3156979091050252,-1.285576733490985,-0.7224876781864931,0.7312692411947695,0.05011707861936006,-0.8723158328677887,-0.29192572673654676,-0.48511742642523287,-1.189323729985402
GUMNet_Diffusion,-0.22437315901534705,0.14880683854648585,-0.4016044817331486,-0.8929223505963352,1.1049094469151337,0.7029486966913004,0.44805468504712603,0.0,0.77859589463498,0.8286023682555845,0.12401035732811692,-0.29894545841540415,-0.6388195250633506,0.4795404988051916,0.505615851639006,0.30141923984442165,0.7584019819894172,-0.2176105319331313,-0.06155692100162586,-0.014137250015185532,0.002534979708018017,0.8361443098599974,0.40751359857553077,-0.006243610066867194,0.31299036662844426,0.19203517886043117,-0.4873846132440692
GUMNet_Fourier,-1.980044790650653,-1.4628143143881087,-1.3736737656610463,-2.0599263101824494,0.9366762480383699,-0.21483429627115244,-0.7415595142633495,-0.77859589463498,0.0,-0.04580436456000366,-0.48388677691144805,-1.9093398992344823,-2.2486398512315464,-0.9114090134343298,-0.7496470003598487,-1.1357540074705184,-0.04624978205304061,-1.5502259788904267,-1.7028382896613787,-1.6122590060081825,-1.4104342549696385,0.29364896403846985,-0.46437179887698515,-1.5636443467270338,-0.7235818107965382,-1.139127299935594,-1.5832235044203917
GUMNet_Fusion,-1.4545564195461294,-0.7766273236902326,-1.1303570497687834,-1.9423717865269725,0.5502673209674218,-0.13687017237875057,-0.32591355409481987,-0.8286023682555845,0.04580436456000366,0.0,-0.6118355426515789,-1.8288078821184588,-2.492213873707732,-0.7339293918018899,-0.5918195594769755,-0.872385264294502,0.009021533461810931,-1.1111880551676316,-1.1435107960294644,-1.043308093940733,-1.8205594094221142,0.23059303720548638,-0.32402167845041313,-1.325601048875916,-0.4071609863856056,-1.2357519949615265,-1.5705854737205172
