,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,0.0,2.3182054311942037,1.8087906295771459,2.432898170867907,2.3825791569283408,2.2450799349452013,2.2736552088777326,1.7821692904131845,1.5479338177404554,2.1786344128713018,2.323282291296617,1.1124872859174066,2.06574450642781,2.0766221110619227,1.631885486934544,2.1070101017478993,2.008668359694426,1.464863161149488,2.1527029576984456,0.21716546767896563,1.8886086259899766,-0.9900993979005996,1.6090139069100435,1.8565126342064693,0.22908667449055167,0.9972556316105845,1.9448937257900232
Chronos,-2.3182054311942037,0.0,-3.032952107229338,-1.956402398370778,2.365441658259291,1.9500065940199,1.0040712502315254,-0.20737130127506756,-2.8814766876245703,1.178530075739779,2.266041601685722,-0.2564341217204702,0.30935772836497855,1.4842036528586884,0.6035459146929895,0.44008380332280034,0.4104508952802359,-4.169430013546128,-2.2031081845026317,-4.0206099314318795,1.0394013491672816,-2.8036612224445525,-0.32641867243778755,-2.0776681328427453,-2.7795120461032297,-1.7813918998589293,-2.2594580102768127
DLinear,-1.8087906295771459,3.032952107229338,0.0,-0.28875340776883573,2.6488701762545386,2.5449632435826794,2.791351377336376,1.5093358534258434,0.07872109482162308,2.2451978779932147,2.4506224269030237,0.49070048369376845,2.1902331731383837,2.1918789871490665,1.3841657559793366,2.054099208937236,1.9398306297508259,-0.0071517611244256195,-0.9595219610540986,-3.4554458545143074,1.8270131298949597,-2.1100400693940924,0.8397311577046535,1.568092086620062,-2.26930145902398,-0.7227338303924224,1.3520403674748451
GUMNet,-2.432898170867907,1.956402398370778,0.28875340776883573,0.0,2.2936166965002873,2.0172616729266317,1.9308381183390575,1.2206339049920314,0.2210628022860488,1.8804203540157862,2.2556944244420545,0.48406008586753513,1.6131651695849756,1.7784282274873169,1.1850478013075034,1.539698889597375,1.4818801823878311,0.175764741996387,-1.1365521799772393,-4.0293769847596295,1.5042040837476214,-1.8587009681596216,0.8926185799809996,1.046827798451397,-3.032841960329539,-0.6964871872347536,0.9798781895848414
GUMNetHet,-2.3825791569283408,-2.365441658259291,-2.6488701762545386,-2.2936166965002873,0.0,-2.4171560551365427,-2.390270622880583,-3.168691116773526,-2.679972351025488,-2.4934546159364688,2.1624415085954283,-1.5456901997068035,-2.5024994319339515,-3.0786689227567754,-2.161881447525742,-1.993491870045986,-2.309972651129661,-2.9760680431179973,-2.377501909245074,-3.074288484081383,-2.47953331493733,-3.1370996391308656,-2.4178233432238736,-2.7220714067105782,-2.5832616437512654,-2.537664057193497,-2.4631525892711443
GUMNet_Adaptive,-2.2450799349452013,-1.9500065940199,-2.5449632435826794,-2.0172616729266317,2.4171560551365427,0.0,-1.8995986609509858,-2.3929200979247756,-2.7442404217018623,-0.776154769470708,2.2896005719464525,-0.9676357414035806,-2.1178801749060923,-0.5938694163224005,-0.6390503889456722,-1.381105081678025,-1.8606302075360346,-3.177319335973077,-2.1538609231136774,-3.175231968242378,-0.7667063274380022,-3.130352891607731,-1.3504742030454238,-2.557237338904375,-2.5384405526724185,-2.0681867638571356,-2.361083177983904
GUMNet_Decomp,-2.2736552088777326,-1.0040712502315254,-2.791351377336376,-1.9308381183390575,2.390270622880583,1.8995986609509858,0.0,-0.5557322838486038,-2.9240721469608935,0.9623566117325824,2.279664386611791,-0.3655087536327297,-0.23000299282514391,1.3780279133262594,0.4712756113308084,0.10787846939432111,0.04407140678510171,-3.7006415572827085,-2.1433241971578627,-3.67582359850203,0.9083797746621831,-2.86753667885214,-0.4972596274471215,-2.0823051678902553,-2.678243349873973,-1.8158833385394666,-2.2026703740320315
GUMNet_Diffusion,-1.7821692904131845,0.20737130127506756,-1.5093358534258434,-1.2206339049920314,3.168691116773526,2.3929200979247756,0.5557322838486038,0.0,-1.313987028378436,1.496709311787761,2.6830772100964944,-0.172079532822216,0.3733357034317652,2.0788328817486006,0.8251550249558305,0.43427030003264994,0.43973224361265123,-1.755031510175483,-1.4459969623999493,-2.4957442573163795,1.2689045519208073,-2.429000526305084,-0.2285245979196036,-0.9177830403665979,-1.955407467955638,-1.5564308076067106,-0.7963542347538142
GUMNet_Fourier,-1.5479338177404554,2.8814766876245703,-0.07872109482162308,-0.2210628022860488,2.679972351025488,2.7442404217018623,2.9240721469608935,1.313987028378436,0.0,2.0206261775345458,2.4709647494216562,0.5647065476923266,2.3724947732947603,2.3237411845609643,1.5518752652312293,2.958330709966314,2.8024267200961694,-0.09659352179860067,-0.632667128735262,-2.5738216852068088,2.146820412011764,-2.4768117933832237,0.6903933500458445,1.1279766531519682,-1.9201299086034596,-0.560209259532638,2.4178723606946697
GUMNet_Fusion,-2.1786344128713018,-1.178530075739779,-2.2451978779932147,-1.8804203540157862,2.4934546159364688,0.776154769470708,-0.9623566117325824,-1.496709311787761,-2.0206261775345458,0.0,2.386025380725053,-0.5655243210145464,-0.9534296223623724,0.488130373683826,-0.05624444419475279,-0.5128885654245247,-0.6679115236550163,-2.45355393010304,-2.0417064643736067,-3.04580383754011,0.12229661734189701,-2.531453607096488,-1.5033576182795616,-1.88637642533365,-2.3975211364011804,-2.2941659909108156,-1.6170855276279688
GUMNet_Graph,-2.323282291296617,-2.266041601685722,-2.4506224269030237,-2.2556944244420545,-2.1624415085954283,-2.2896005719464525,-2.279664386611791,-2.6830772100964944,-2.4709647494216562,-2.386025380725053,0.0,-1.9462316355571045,-2.3513697593010767,-2.5138295780577944,-2.5113800533064867,-2.119365444472596,-2.284004884707727,-2.6191632100202713,-2.309289948444611,-2.7379687617702797,-2.459673962808651,-3.0023576387395168,-2.533540510057351,-2.475531945186428,-2.4449855758730585,-2.5019671390499547,-2.3370747036815045
GUMNet_Mamba,-1.1124872859174066,0.2564341217204702,-0.49070048369376845,-0.48406008586753513,1.5456901997068035,0.9676357414035806,0.3655087536327297,0.172079532822216,-0.5647065476923266,0.5655243210145464,1.9462316355571045,0.0,0.3451076608543903,0.8519576617506005,0.854619083048839,0.5612950572562965,0.46721764370589364,-0.5515668373917323,-0.6420547448340614,-1.2775444952692367,0.9287851878952521,-5.028246504335732,0.033897527981820066,-0.1271732428631141,-1.2295059620780615,-0.5879207527666405,-0.21573036140806898
GUMNet_MoE_Sparse,-2.06574450642781,-0.30935772836497855,-2.1902331731383837,-1.6131651695849756,2.5024994319339515,2.1178801749060923,0.23000299282514391,-0.3733357034317652,-2.3724947732947603,0.9534296223623724,2.3513697593010767,-0.3451076608543903,0.0,1.5028256601763594,0.5816078122354699,0.2655010483418119,0.23613288933352833,-2.864594080752115,-1.8093069253194953,-3.1372809425556407,1.1022863425503502,-2.890812682892417,-0.3765103835947453,-1.5618794889301089,-2.42565557293593,-1.5576215655349186,-1.743350233073584
