,Autoformer,Chronos,DLinear,GUMNet,GUMNetHet,GUMNet_Adaptive,GUMNet_Decomp,GUMNet_Diffusion,GUMNet_Fourier,GUMNet_Fusion,GUMNet_Graph,GUMNet_Mamba,GUMNet_MoE_Sparse,GUMNet_Patch,GUMNet_RL,GUMNet_Wavelet,GUMNet_iTrans,LTSF_Linear,Moirai,PatchTST,RLinear,TFT,TTM,TimeMixer,TimesFM,TimesNet,iTransformer
Autoformer,0.0,-0.7287666439180888,-2.0787632645361427,0.683478145644751,1.7874187208829608,-0.6543949637950232,1.6820158923540434,-0.5348147692630588,-1.4842155823194403,0.05925672840740124,0.9060830423644141,-0.5321100810095258,-0.393727352571616,1.7735564738887473,0.8759970295762167,1.5040270641035767,0.05198965915014226,0.6670607823940699,0.8153751891127172,1.0857573169963255,0.6424601693259472,-0.4089886355654937,0.2642780830969525,0.04628826266880985,1.3054755572265468,0.36493299931786777,-1.657994492150018
Chronos,0.7287666439180888,0.0,-1.4017897248682705,2.0167951402468476,1.638638922619636,-0.28500961032091915,1.5945638483811377,0.0764276118756279,-1.3896030607510392,0.28517599261867516,1.0782897659128658,-0.1107910265695253,-0.0042918411741827535,1.619491615880809,1.9604602417772607,1.7435527986252781,0.4588865904598147,1.0521534910471453,1.5983348794428707,1.8984373328578696,1.5052616437966506,0.018411785447761217,2.255481957088009,0.4889020515591675,2.211292250752567,1.4140491080077526,-1.8461314065842402
DLinear,2.0787632645361427,1.4017897248682705,0.0,2.1305103294628185,2.192615371667488,0.3715068048258517,2.1000188648612514,1.1889175597841415,-1.0866600564430626,0.6705283690340775,1.6513469080013594,0.790071221627526,0.7591814434248978,2.105935034282423,2.994117395798946,2.315049491141153,1.163760395623979,1.9349924529134912,2.100201239616159,2.376937257550192,2.096378002679065,0.7953989959024518,2.9734552307621667,1.2613502737489013,2.673074911783522,1.8615282596052392,-0.8032066849884922
GUMNet,-0.683478145644751,-2.0167951402468476,-2.1305103294628185,0.0,0.8225632199893215,-1.3803010603831154,0.7505655301200982,-1.6475084221699312,-1.9143259117177513,-0.2525483065100677,0.06751365907031953,-1.5539160748367797,-1.202231722049823,0.8636220732509048,-0.003200383852741404,0.618635453005521,-0.5071131342205575,-0.41755387452306914,0.09461125934310859,0.43775983107086686,-0.40165381761052565,-1.2534266745204294,-0.8906376688808083,-0.5001220061927444,0.3535100385081455,-0.6948514811552161,-2.3772758005000427
GUMNetHet,-1.7874187208829608,-1.638638922619636,-2.192615371667488,-0.8225632199893215,0.0,-1.4473780769039644,-0.6236227768911667,-1.3802387188609966,-1.912709700825202,-1.2216781727571375,-1.0971909056605778,-1.4039087531670382,-1.169168830964846,0.6971761356648485,-0.886833542409079,-0.8109803560668615,-1.2692719240305104,-1.7464207173583028,-1.0811664697414691,-0.9510062428653187,-1.2843005329753692,-1.215474167865834,-1.2602915643004238,-1.7658767220325748,-1.0152528187386682,-1.4417101634191485,-2.2909340951460493
GUMNet_Adaptive,0.6543949637950232,0.28500961032091915,-0.3715068048258517,1.3803010603831154,1.4473780769039644,0.0,1.3883758998569395,0.41326175568999485,-1.291855252558495,0.33453810491773944,1.1609996113190653,0.24417280281676068,0.2582992795103195,1.500749864154662,1.55620047838294,1.5514250840285986,0.5723160313659718,0.8772858205893601,1.1703102008993127,1.3832983867329203,1.1686020375397042,0.37221390498049584,0.9871218908089495,0.5382778212405342,1.3850790878434707,0.9675328198610188,-0.9616280949827599
GUMNet_Decomp,-1.6820158923540434,-1.5945638483811377,-2.1000188648612514,-0.7505655301200982,0.6236227768911667,-1.3883758998569395,0.0,-1.326679485015951,-1.851701644800453,-1.0947055136913149,-0.9786139995771995,-1.3332285306672562,-1.1042961498350872,0.9092715358524643,-0.7675096343897798,-0.6775156320806497,-1.1110257948629723,-1.6798902069546868,-0.9807360966400852,-0.8342413924558375,-1.2065436239383907,-1.149917861159609,-1.1792316370542484,-1.6116332863328577,-0.8930923462555295,-1.414521103727249,-2.295065766184295
GUMNet_Diffusion,0.5348147692630588,-0.0764276118756279,-1.1889175597841415,1.6475084221699312,1.3802387188609966,-0.41326175568999485,1.326679485015951,0.0,-1.4864331142706755,0.24110369214227767,0.953151999776509,-0.19174134052239986,-0.05465409446555322,1.3883193908675195,1.8306311728484022,1.4942006900158886,0.4402275583472982,0.7872737116670556,1.2162777404630707,1.446260942949901,1.1873687822989452,-0.038291453843754125,1.4234521986780395,0.3880280870130321,1.5284509683919418,0.9019292447752665,-1.5349995396378033
GUMNet_Fourier,1.4842155823194403,1.3896030607510392,1.0866600564430626,1.9143259117177513,1.912709700825202,1.291855252558495,1.851701644800453,1.4864331142706755,0.0,1.0494082537271643,1.7453598524925966,1.538530751243098,1.5927615882677764,1.9420530476177695,2.0865382217222304,1.9424756679762833,1.6144320732642128,1.5506179987677549,1.7858581651869374,1.8806142249213589,1.7515424826606358,1.5694323066056148,1.7279213944802407,1.3354785423296573,1.8758804032782777,1.6459831439162644,0.6349844741582782
GUMNet_Fusion,-0.05925672840740124,-0.28517599261867516,-0.6705283690340775,0.2525483065100677,1.2216781727571375,-0.33453810491773944,1.0947055136913149,-0.24110369214227767,-1.0494082537271643,0.0,0.3786159267969813,-0.26579110669502104,-0.2222912099075708,1.359367290018734,0.26957582499775723,0.6076360392160822,-0.010954644385240445,0.1412798746149552,0.31040405199828913,0.39468337320059016,0.1920530663233655,-0.21930309710541285,0.032896051961004966,-0.0544267636469496,0.413173114449806,0.08433800969096465,-0.8849514073029181
