19:57:18 | ================================================================================
19:57:18 |  GUMNet_MoE_Sparse | DAU | H1 | walkforward | seed=123
19:57:18 | ================================================================================
19:57:19 | Data: 4513 rows | Features: 16
20:07:22 |  Iter-01 | MAE=1.547 | MAPE=1.88%
20:19:16 |  Iter-02 | MAE=0.530 | MAPE=0.64%
20:30:12 |  Iter-03 | MAE=1.004 | MAPE=1.23%
20:45:00 |  Iter-04 | MAE=0.928 | MAPE=1.16%
20:55:56 |  Iter-05 | MAE=0.452 | MAPE=0.57%
21:06:56 |  Iter-06 | MAE=0.966 | MAPE=1.21%
21:17:37 |  Iter-07 | MAE=1.337 | MAPE=1.70%
21:30:14 |  Iter-08 | MAE=0.383 | MAPE=0.48%
21:44:46 |  Iter-09 | MAE=0.335 | MAPE=0.42%
21:55:43 |  Iter-10 | MAE=0.234 | MAPE=0.29%
22:06:40 |  Iter-11 | MAE=0.015 | MAPE=0.02%
22:17:17 |  Iter-12 | MAE=0.780 | MAPE=0.97%
22:29:51 |  Iter-13 | MAE=1.016 | MAPE=1.28%
22:40:50 |  Iter-14 | MAE=0.202 | MAPE=0.25%
22:51:30 |  Iter-15 | MAE=0.702 | MAPE=0.87%
23:04:25 |  Iter-16 | MAE=0.376 | MAPE=0.47%
23:15:24 |  Iter-17 | MAE=0.768 | MAPE=0.97%
23:29:18 |  Iter-18 | MAE=0.893 | MAPE=1.14%
23:39:57 |  Iter-19 | MAE=0.334 | MAPE=0.42%
23:50:56 |  Iter-20 | MAE=1.959 | MAPE=2.53%
00:01:00 |  Iter-21 | MAE=0.076 | MAPE=0.10%
00:11:42 |  Iter-22 | MAE=1.309 | MAPE=1.65%
00:22:25 |  Iter-23 | MAE=0.370 | MAPE=0.46%
00:33:27 |  Iter-24 | MAE=0.545 | MAPE=0.67%
00:45:28 |  Iter-25 | MAE=0.549 | MAPE=0.67%
00:58:07 |  Iter-26 | MAE=2.204 | MAPE=2.70%
01:08:49 |  Iter-27 | MAE=2.210 | MAPE=2.71%
01:20:10 |  Iter-28 | MAE=0.027 | MAPE=0.03%
01:30:32 |  Iter-29 | MAE=0.499 | MAPE=0.61%
01:40:54 |  Iter-30 | MAE=0.602 | MAPE=0.72%
