15:48:05 | ================================================================================
15:48:05 |  GUMNet_MoE_Sparse | XANG | H1 | walkforward | seed=777
15:48:05 | ================================================================================
15:48:05 | Data: 4513 rows | Features: 15
15:53:07 |  Iter-01 | MAE=0.151 | MAPE=0.19%
15:58:38 |  Iter-02 | MAE=0.191 | MAPE=0.24%
16:04:25 |  Iter-03 | MAE=0.597 | MAPE=0.76%
16:09:33 |  Iter-04 | MAE=2.731 | MAPE=3.63%
16:15:30 |  Iter-05 | MAE=0.415 | MAPE=0.56%
16:20:52 |  Iter-06 | MAE=0.694 | MAPE=0.93%
16:27:19 |  Iter-07 | MAE=1.067 | MAPE=1.45%
16:33:45 |  Iter-08 | MAE=0.474 | MAPE=0.64%
16:40:22 |  Iter-09 | MAE=1.027 | MAPE=1.39%
16:47:27 |  Iter-10 | MAE=0.510 | MAPE=0.69%
16:53:15 |  Iter-11 | MAE=0.068 | MAPE=0.09%
16:59:03 |  Iter-12 | MAE=0.469 | MAPE=0.64%
17:06:07 |  Iter-13 | MAE=0.290 | MAPE=0.40%
17:12:24 |  Iter-14 | MAE=0.529 | MAPE=0.73%
17:18:22 |  Iter-15 | MAE=0.227 | MAPE=0.31%
17:23:50 |  Iter-16 | MAE=0.706 | MAPE=0.97%
17:30:08 |  Iter-17 | MAE=0.544 | MAPE=0.75%
17:36:15 |  Iter-18 | MAE=1.356 | MAPE=1.92%
17:42:32 |  Iter-19 | MAE=0.281 | MAPE=0.39%
17:48:20 |  Iter-20 | MAE=1.236 | MAPE=1.76%
17:54:28 |  Iter-21 | MAE=1.658 | MAPE=2.35%
18:00:06 |  Iter-22 | MAE=0.670 | MAPE=0.92%
18:06:23 |  Iter-23 | MAE=1.111 | MAPE=1.54%
18:11:52 |  Iter-24 | MAE=0.435 | MAPE=0.60%
18:18:28 |  Iter-25 | MAE=1.217 | MAPE=1.68%
18:24:06 |  Iter-26 | MAE=1.259 | MAPE=1.75%
18:29:15 |  Iter-27 | MAE=0.545 | MAPE=0.77%
18:35:42 |  Iter-28 | MAE=0.231 | MAPE=0.33%
18:42:27 |  Iter-29 | MAE=0.412 | MAPE=0.57%
18:49:23 |  Iter-30 | MAE=0.728 | MAPE=1.00%
18:54:42 |  Iter-31 | MAE=0.393 | MAPE=0.54%
19:00:30 |  Iter-32 | MAE=0.600 | MAPE=0.83%
19:06:27 |  Iter-33 | MAE=0.476 | MAPE=0.65%
19:11:46 |  Iter-34 | MAE=1.364 | MAPE=1.91%
19:16:55 |  Iter-35 | MAE=0.610 | MAPE=0.83%
19:24:10 |  Iter-36 | MAE=0.418 | MAPE=0.56%
19:29:49 |  Iter-37 | MAE=1.306 | MAPE=1.75%
19:35:27 |  Iter-38 | MAE=2.798 | MAPE=3.90%
19:41:34 |  Iter-39 | MAE=2.416 | MAPE=3.36%
19:47:03 |  Iter-40 | MAE=1.125 | MAPE=1.52%
19:52:02 |  Iter-41 | MAE=0.480 | MAPE=0.65%
19:57:31 |  Iter-42 | MAE=1.275 | MAPE=1.72%
20:03:38 |  Iter-43 | MAE=1.380 | MAPE=1.82%
20:10:40 |  Iter-44 | MAE=1.843 | MAPE=2.38%
20:19:00 |  Iter-45 | MAE=1.008 | MAPE=1.32%
20:24:14 |  Iter-46 | MAE=1.357 | MAPE=1.79%
20:30:06 |  Iter-47 | MAE=2.372 | MAPE=3.26%
20:36:01 |  Iter-48 | MAE=0.154 | MAPE=0.21%
20:43:14 |  Iter-49 | MAE=0.162 | MAPE=0.22%
20:49:08 |  Iter-50 | MAE=0.411 | MAPE=0.56%
20:55:21 |  Iter-51 | MAE=2.742 | MAPE=3.56%
21:00:46 |  Iter-52 | MAE=0.906 | MAPE=1.15%
21:07:48 |  Iter-53 | MAE=0.443 | MAPE=0.56%
21:14:31 |  Iter-54 | MAE=2.131 | MAPE=2.66%
