model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
GUMNet_Patch,DAU,60,9.352502,23.354068,7.8955,8.6753,-0.085452,5.792342,48.03,7.275178,85.36,22.6323
GUMNet_Patch,DAU,7,10.351645,20.527984,6.7556,6.8201,0.841123,2.531387,56.51,7.697744,62.59,15.1483
GUMNet_Patch,XANG,10,4.851845,9.740583,4.5316,4.7523,0.827739,1.353367,48.59,3.560867,75.64,9.4568
GUMNet_Patch,XANG,1,3.227247,5.82138,2.8041,2.8011,0.963421,0.668035,54.04,,68.5,6.0371
GUMNet_Patch,XANG,20,6.124438,11.567337,5.8901,6.1714,0.669829,2.060282,48.33,4.317684,76.67,12.7591
GUMNet_Patch,XANG,3,5.072986,8.886905,4.4393,4.4784,0.91433,1.051722,42.35,3.587207,69.19,9.2564
GUMNet_Patch,XANG,5,5.260355,8.853718,4.678,4.8499,0.915389,1.088885,58.59,,64.0,10.2255
GUMNet_Patch,XANG,60,7.031851,13.974326,7.2591,7.7881,-0.147807,2.050939,47.92,5.178354,84.11,19.0212
GUMNet_Patch,XANG,7,4.73491,8.605099,4.2931,4.4012,0.892196,1.168986,55.14,,73.13,9.471
GUMNet_RL,DAU,10,9.44349,19.267357,6.3734,6.5845,0.827276,2.664937,45.63,7.112652,69.36,15.1022
GUMNet_RL,DAU,1,6.371801,12.153101,3.6676,3.6829,0.956875,1.11938,57.07,,61.5,8.6944
GUMNet_RL,DAU,20,12.719873,27.305477,8.9521,8.8982,0.526687,4.65955,45.99,9.523701,68.83,20.3359
GUMNet_RL,DAU,3,9.042167,17.745632,5.4176,5.4313,0.908477,1.623103,45.41,6.491084,64.14,16.2069
GUMNet_RL,DAU,5,10.047808,17.136675,6.0539,6.2646,0.914256,1.76517,53.54,6.99502,62.0,19.0114
GUMNet_RL,DAU,60,9.335181,23.238416,7.9204,8.759,-0.074728,5.781614,49.11,7.39088,83.21,22.925
GUMNet_RL,DAU,7,10.639011,21.453078,6.9345,6.9653,0.826481,2.601659,58.56,8.271396,63.61,14.5043
GUMNet_RL,XANG,10,4.866136,9.802987,4.527,4.764,0.825525,1.357353,47.56,3.5872,73.97,9.2789
GUMNet_RL,XANG,1,3.168365,5.790112,2.7623,2.7546,0.963813,0.655847,54.04,,67.5,6.0195
GUMNet_RL,XANG,20,6.165917,12.210927,5.8917,6.2472,0.632066,2.074236,44.65,4.601634,74.0,12.503
GUMNet_RL,XANG,3,5.267716,9.100126,4.6289,4.6536,0.91017,1.092094,46.94,3.571078,69.19,11.2884
GUMNet_RL,XANG,5,5.314574,8.987011,4.7427,4.9259,0.912822,1.100108,52.02,,70.0,11.7632
GUMNet_RL,XANG,60,6.217323,12.965883,6.3079,6.8327,0.011876,1.81337,48.27,4.690015,88.18,19.2125
GUMNet_RL,XANG,7,4.725373,8.655788,4.2918,4.3927,0.890922,1.166631,47.95,,75.51,9.6783
GUMNet_Wavelet,DAU,10,9.540105,19.605652,6.3951,6.623,0.821157,2.692202,51.29,7.222703,66.54,13.8431
GUMNet_Wavelet,DAU,1,5.786972,11.280719,3.3203,3.35,0.962844,1.016638,56.57,,65.0,8.7163
GUMNet_Wavelet,DAU,20,12.25913,26.546223,8.5924,8.5361,0.552643,4.490771,48.83,9.701102,66.67,17.328
GUMNet_Wavelet,DAU,3,9.185202,17.423405,5.4248,5.4405,0.91177,1.648778,51.53,6.408764,66.67,16.962
GUMNet_Wavelet,DAU,5,10.532431,17.793694,6.2743,6.4275,0.907555,1.850307,52.02,7.133004,59.5,18.2055
GUMNet_Wavelet,DAU,60,9.089888,23.528964,7.5593,8.4019,-0.101771,5.629695,47.89,7.202181,85.36,22.6809
GUMNet_Wavelet,DAU,7,10.245137,20.171572,6.7772,6.8087,0.846592,2.505341,52.4,7.817263,65.31,15.9352
GUMNet_Wavelet,XANG,10,4.719891,9.70925,4.3528,4.585,0.828845,1.316559,52.19,3.533271,76.41,9.565
GUMNet_Wavelet,XANG,1,3.05654,5.591848,2.6579,2.6547,0.966249,0.632699,56.06,,66.0,6.2266
GUMNet_Wavelet,XANG,20,6.413993,12.709816,6.0957,6.4792,0.601388,2.157689,50.67,4.420358,76.33,13.6715
GUMNet_Wavelet,XANG,3,5.295035,9.534919,4.6293,4.6516,0.901381,1.097757,47.96,3.735423,63.13,10.4919
GUMNet_Wavelet,XANG,5,5.803726,10.110705,5.147,5.3941,0.889658,1.201362,46.46,,62.0,11.0957
GUMNet_Wavelet,XANG,60,6.361008,13.143293,6.5048,6.9615,-0.01535,1.855278,48.39,4.902342,91.07,22.4854
GUMNet_Wavelet,XANG,7,4.636054,8.312019,4.2292,4.3083,0.899414,1.144579,48.63,,72.45,10.6476
GUMNet_iTrans,DAU,10,9.349305,18.976898,6.3309,6.5376,0.832444,2.638358,49.49,6.633816,69.49,16.7345
GUMNet_iTrans,DAU,1,5.715551,11.277808,3.3361,3.3507,0.962864,1.004091,60.61,,65.5,8.0562
GUMNet_iTrans,DAU,20,12.436694,26.965905,8.7066,8.6481,0.538386,4.555816,49.16,9.628335,71.67,19.4237
GUMNet_iTrans,DAU,3,9.114112,18.114175,5.3955,5.3869,0.904636,1.636018,50.0,6.990515,68.18,15.3149
GUMNet_iTrans,DAU,5,11.175356,18.269063,6.6441,6.8004,0.90255,1.963254,48.99,7.572616,55.0,17.5948
GUMNet_iTrans,DAU,60,9.310199,23.530111,7.8171,8.5716,-0.101878,5.766142,49.2,7.415604,85.71,23.4806
GUMNet_iTrans,DAU,7,9.853316,19.332763,6.602,6.6462,0.859086,2.409526,57.19,7.210876,64.29,14.7036
GUMNet_iTrans,XANG,10,4.668054,9.450553,4.3541,4.5581,0.837845,1.3021,48.71,3.416585,78.46,10.4219
GUMNet_iTrans,XANG,1,3.25345,5.710542,2.7977,2.8,0.964801,0.673459,54.55,,67.0,6.2134
GUMNet_iTrans,XANG,20,6.093283,11.435157,5.8398,6.0676,0.677332,2.049802,46.99,4.239564,73.83,13.3674
GUMNet_iTrans,XANG,3,5.72129,10.087019,4.9501,4.9319,0.889629,1.186128,47.45,3.931372,64.14,11.3137
GUMNet_iTrans,XANG,5,5.038197,8.477251,4.4785,4.6193,0.922431,1.042899,51.52,,70.0,12.2095
GUMNet_iTrans,XANG,60,6.501829,13.249718,6.7137,7.1887,-0.03186,1.896351,48.03,4.99178,87.92,21.3376
GUMNet_iTrans,XANG,7,4.279435,7.93226,3.961,4.0476,0.908395,1.056535,51.71,,73.81,11.8952
Gated_TabNet,XANG,10,4.92576,9.894646,4.5573,4.7889,0.822247,1.373984,47.17,,,
Gated_TabNet,XANG,1,3.103577,5.63715,2.7265,2.7214,0.9657,0.642435,59.09,,,
Gated_TabNet,XANG,20,5.866098,11.104955,5.7169,6.0638,0.695697,1.973376,50.67,,,
Gated_TabNet,XANG,3,5.210045,9.077859,4.5825,4.6434,0.910609,1.080137,49.49,,,
Gated_TabNet,XANG,5,5.817382,9.520493,5.0908,5.2922,0.902165,1.204189,45.96,,,
Gated_TabNet,XANG,60,6.92022,13.278107,7.0439,7.6946,-0.036286,2.01838,50.54,,,
Gated_TabNet,XANG,7,4.721688,8.531017,4.2598,4.3639,0.894044,1.165721,47.6,,,
Informer,XANG,10,5.203911,10.62665,4.7253,4.9193,0.794974,1.451571,49.23,,,
Informer,XANG,1,3.498815,6.16985,2.9938,3.0052,0.958911,0.724249,55.56,,,
Informer,XANG,20,6.062216,11.715714,5.9107,6.3141,0.661304,2.03935,50.17,,,
Informer,XANG,3,4.860152,8.510813,4.2559,4.3065,0.921427,1.007598,44.9,,,
Informer,XANG,5,7.18696,12.978346,6.0441,6.3159,0.818191,1.487689,44.95,,,
Informer,XANG,60,7.406962,14.590549,7.5974,8.3549,-0.251269,2.160345,48.69,,,
Informer,XANG,7,4.897545,8.506599,4.4021,4.5653,0.894649,1.209138,53.42,,,
LTSF_Linear,DAU,10,9.89309,20.448853,6.6265,6.9197,0.805443,2.791813,48.2,9.89309,,
LTSF_Linear,DAU,1,5.772568641489744,11.186683455617015,3.367762287431545,,0.9634612881435355,,58.080808080808076,,,
LTSF_Linear,DAU,20,12.528524,27.052936,8.7814,8.7615,0.535402,4.589455,47.99,12.528524,,
LTSF_Linear,DAU,3,9.442139,17.961918,5.6556,5.7009,0.906232,1.694899,46.43,,,
LTSF_Linear,DAU,5,10.906511,18.345441,6.5279,6.8251,0.901733,1.916024,44.95,,,
LTSF_Linear,DAU,60,9.959664,23.984205,8.4912,9.3957,-0.144818,6.168379,46.55,9.959664,,
LTSF_Linear,DAU,7,11.037556,21.307645,7.2385,7.2517,0.828826,2.699119,50.0,11.037556,,
LTSF_Linear,XANG,10,5.063898,10.149579,4.6459,4.8732,0.812969,1.412516,47.94,,,
LTSF_Linear,XANG,1,3.0270967942893505,5.496214812071492,2.656866277207168,,0.9673934683677755,,58.080808080808076,,,
LTSF_Linear,XANG,20,6.280542,11.64862,6.1625,6.4987,0.665172,2.112796,49.0,,,
LTSF_Linear,XANG,3,5.397215,9.554439,4.7333,4.8233,0.900976,1.118941,42.35,,,
LTSF_Linear,XANG,5,5.755691,9.909868,5.0774,5.3071,0.893998,1.191419,47.47,,,
LTSF_Linear,XANG,60,7.20257,13.809718,7.4989,8.0562,-0.120926,2.100731,46.99,,,
LTSF_Linear,XANG,7,4.648542,8.298982,4.2423,4.3998,0.899729,1.147663,43.84,,,
Lag_Llama,XANG,10,4.801562,9.812943,4.4023,4.6487,0.82517,1.339341,48.2,4.801562,,
Lag_Llama,XANG,1,3.157871,5.463659,2.7765,2.7796,0.967779,0.653674,55.56,,,
Lag_Llama,XANG,20,7.462061,14.650013,6.9584,7.1118,0.4704,2.510263,48.16,7.462061,,
Lag_Llama,XANG,3,4.913133,8.746804,4.3215,4.3419,0.91701,1.018582,43.37,4.913133,,
Lag_Llama,XANG,5,5.695204,9.318285,4.9525,5.1099,0.906276,1.178898,49.49,,,
Lag_Llama,XANG,60,6.965262,14.098139,7.0717,7.7126,-0.168237,2.031517,48.99,6.965262,,
Lag_Llama,XANG,7,4.883426,8.800226,4.4004,4.5423,0.887251,1.205652,49.32,,,
MambaFormer,XANG,10,5.072343,10.924863,4.6034,4.7896,0.783305,1.414872,48.59,5.072343,,
MambaFormer,XANG,1,3.511328,6.19431,3.0337,3.0406,0.958584,0.726839,56.57,,,
MambaFormer,XANG,20,6.509195,11.961495,6.4408,6.8078,0.646944,2.189716,42.64,,,
MambaFormer,XANG,3,5.571438,10.003494,4.7321,4.783,0.891449,1.155061,46.94,5.571438,,
MambaFormer,XANG,5,5.490695,9.032319,4.7957,4.9966,0.911941,1.136565,46.97,,,
MambaFormer,XANG,60,8.325349,15.118343,8.69,9.5275,-0.343432,2.428206,48.93,8.325349,,
MambaFormer,XANG,7,4.889567,8.844283,4.3859,4.542,0.886119,1.207168,51.03,,,
Moirai,DAU,10,9.708992,19.945806,6.5124,6.7491,0.814897,2.739861,45.76,9.708992,,
Moirai,DAU,1,5.786341,11.557703,3.3784,3.3868,0.960997,1.016528,57.07,,,
Moirai,DAU,20,12.294904,26.302758,8.6569,8.6768,0.560811,4.503876,47.83,12.294904,,
Moirai,DAU,3,9.107155,17.716611,5.4016,5.4581,0.908776,1.634769,42.86,9.107155,,
Moirai,DAU,5,10.700425,18.012418,6.2754,6.5272,0.905268,1.87982,55.05,10.700425,,
Moirai,DAU,60,9.277761,24.178556,7.6393,8.6684,-0.163446,5.746052,48.15,9.277761,,
Moirai,DAU,7,10.212079,18.955852,6.7148,6.8753,0.864527,2.497258,56.16,10.212079,,
Moirai,XANG,10,4.763597,9.619492,4.3935,4.6423,0.831995,1.328751,50.51,4.763597,,
Moirai,XANG,1,3.04536,5.684152,2.6658,2.6732,0.965125,0.630385,55.56,,,
Moirai,XANG,20,5.895505,11.46174,5.7377,6.0853,0.67583,1.983268,45.65,5.895505,,
Moirai,XANG,3,4.712068,8.088908,4.1392,4.1954,0.929024,0.976898,46.43,4.712068,,
Moirai,XANG,5,5.456879,9.003793,4.7735,4.9646,0.912496,1.129565,46.97,,,
Moirai,XANG,60,7.027795,14.071111,7.197,7.8303,-0.163762,2.049756,47.29,7.027795,,
Moirai,XANG,7,4.809397,8.629365,4.3958,4.4881,0.891587,1.187375,44.18,,,
NBEATS,XANG,10,4.842591,9.825791,4.4549,4.6954,0.824712,1.350785,48.71,,,
NBEATS,XANG,1,3.049124,5.655229,2.69,2.6901,0.965479,0.631164,54.04,,,
NBEATS,XANG,20,6.283421,11.659206,6.1922,6.5858,0.664564,2.113764,45.48,,,
NBEATS,XANG,3,5.18532,8.962362,4.5361,4.5807,0.912869,1.075011,50.51,,,
NBEATS,XANG,5,5.465152,9.141481,4.777,4.9548,0.909799,1.131278,46.97,,,
NBEATS,XANG,60,8.23423,14.759075,8.5434,9.4184,-0.280341,2.40163,48.72,,,
NBEATS,XANG,7,4.99138,8.908165,4.4751,4.6307,0.884468,1.232304,45.55,,,
NHits,XANG,10,4.834748,9.731457,4.4461,4.6841,0.828062,1.348598,48.2,,,
NHits,XANG,1,3.069206,5.553118,2.7035,2.7029,0.966715,0.635321,59.09,,,
NHits,XANG,20,6.112358,11.432597,6.0666,6.4733,0.677476,2.056218,50.67,,,
NHits,XANG,3,5.006349,8.769987,4.4639,4.5141,0.916569,1.037907,40.82,,,
NHits,XANG,5,5.747834,9.390197,5.0212,5.2189,0.904824,1.189793,47.47,,,
NHits,XANG,60,8.368276,14.694732,8.7354,9.6178,-0.269202,2.440726,47.97,,,
NHits,XANG,7,4.842104,8.684951,4.3655,4.5114,0.890185,1.19545,44.18,,,
PatchTST,DAU,10,9.769127,19.968886,6.542,6.8067,0.814469,2.756831,47.3,9.769127,,
PatchTST,DAU,1,6.146751,11.872754,3.584,3.5876,0.958842,1.079843,62.12,6.146751,,
PatchTST,DAU,20,12.669065,27.04096,8.9449,8.9241,0.535813,4.640939,47.99,12.669065,,
PatchTST,DAU,3,9.036329,17.615666,5.3603,5.4093,0.909812,1.622055,48.47,,,
PatchTST,DAU,5,10.690022,18.16874,6.2468,6.5108,0.903617,1.877992,52.02,,,
PatchTST,DAU,60,10.179196,24.446926,8.6759,9.5864,-0.189417,6.304343,50.21,10.179196,,
PatchTST,DAU,7,11.049073,21.286746,7.2165,7.3014,0.829161,2.701936,50.68,11.049073,,
PatchTST,XANG,10,4.854846,9.817525,4.4757,4.7332,0.825007,1.354204,48.59,,,
PatchTST,XANG,1,2.883409,5.114578,2.5287,2.5287,0.971764,0.596861,61.11,,,
PatchTST,XANG,20,5.83115,11.089538,5.6844,5.9938,0.696542,1.961619,48.66,,,
PatchTST,XANG,3,4.826197,8.299971,4.2231,4.2794,0.925272,1.000559,47.45,,,
PatchTST,XANG,5,5.539968,9.095282,4.832,5.0232,0.910709,1.146765,55.05,,,
PatchTST,XANG,60,7.398278,14.151533,7.639,8.1942,-0.177102,2.157813,47.86,,,
PatchTST,XANG,7,5.037658,8.970894,4.5438,4.6829,0.882835,1.24373,44.18,,,
RLinear,DAU,10,9.689902,20.093156,6.5449,6.7404,0.812152,2.734474,48.2,9.689902,,
RLinear,DAU,1,5.798225735783576,11.21523324388642,3.3715571097315773,,0.9632745476062974,,60.60606060606061,,,
RLinear,DAU,20,13.265693,29.247373,9.2375,9.0773,0.456971,4.859496,47.32,13.265693,,
RLinear,DAU,3,9.391028,17.865216,5.5899,5.6153,0.907239,1.685725,45.92,,,
RLinear,DAU,5,10.808843,18.092605,6.4929,6.7249,0.904423,1.898866,48.99,,,
RLinear,DAU,60,9.623287,23.469996,8.1141,8.945,-0.096255,5.960049,48.51,9.623287,,
RLinear,DAU,7,11.039819,21.460571,7.2298,7.3068,0.82636,2.699673,52.05,11.039819,,
RLinear,XANG,10,4.766889,9.778148,4.3926,4.6585,0.826408,1.329669,48.71,,,
RLinear,XANG,1,2.860603886771202,5.0337055553399646,2.5077151322736624,,0.9726502837485002,,58.58585858585859,,,
RLinear,XANG,20,6.413356,12.081016,6.2542,6.6247,0.639854,2.157475,43.65,,,
RLinear,XANG,3,5.19185,9.096498,4.5307,4.5542,0.910241,1.076365,37.76,,,
RLinear,XANG,5,5.798482,9.330961,5.0937,5.2768,0.906021,1.200277,53.54,,,
RLinear,XANG,60,7.018393,13.88087,7.2007,7.741,-0.132507,2.047014,49.2,,,
RLinear,XANG,7,4.773655,8.484302,4.299,4.4444,0.895201,1.178551,50.68,,,
Reformer,XANG,10,4.967605,10.549653,4.5234,4.823,0.797934,1.385656,50.9,,,
Reformer,XANG,1,3.060635,5.391733,2.6763,2.6809,0.968621,0.633547,54.55,,,
Reformer,XANG,20,5.921208,11.488579,5.736,6.0705,0.67431,1.991915,45.15,,,
Reformer,XANG,3,5.223263,9.317482,4.5798,4.6378,0.905827,1.082878,45.92,,,
Reformer,XANG,5,5.919939,9.67187,5.1812,5.3918,0.899029,1.225418,49.49,,,
Reformer,XANG,60,7.066672,14.357425,7.1932,7.8974,-0.211603,2.061095,47.71,,,
Reformer,XANG,7,4.938698,8.909087,4.4188,4.578,0.884444,1.219298,46.92,,,
S_Mamba,XANG,10,5.178328,10.208834,4.7363,4.9449,0.810779,1.444435,50.26,5.178328,,
S_Mamba,XANG,1,3.32667,6.162066,2.9126,2.9283,0.959015,0.688615,57.07,,,
S_Mamba,XANG,20,6.759251,12.090008,6.5352,6.7858,0.639317,2.273835,45.82,,,
S_Mamba,XANG,3,5.250326,9.701149,4.6126,4.7428,0.897912,1.088488,47.96,5.250326,,
S_Mamba,XANG,5,5.379871,8.627279,4.7534,4.9107,0.919661,1.113625,43.43,,,
S_Mamba,XANG,60,7.016862,13.835753,7.1945,7.8615,-0.125156,2.046567,45.21,7.016862,,
S_Mamba,XANG,7,4.956397,8.97638,4.4708,4.6017,0.882692,1.223668,45.21,,,
TEMPO,XANG,10,4.909233,9.965627,4.5301,4.773,0.819687,1.369374,51.67,4.909233,,
TEMPO,XANG,1,3.260343,5.855644,2.8562,2.8627,0.962989,0.674886,58.59,,,
TEMPO,XANG,20,5.805891,11.156694,5.6438,5.951,0.692855,1.953122,45.99,5.805891,,
TEMPO,XANG,3,5.451062,9.805994,4.7439,4.8389,0.895693,1.130105,48.98,5.451062,,
TEMPO,XANG,5,6.002536,10.618507,5.2949,5.6227,0.878296,1.242515,51.01,,,
TEMPO,XANG,60,6.658772,13.659492,6.7622,7.3708,-0.096671,1.942125,45.8,6.658772,,
TEMPO,XANG,7,4.588577,8.482194,4.1929,4.2972,0.895253,1.132858,51.71,4.588577,,
TFT,DAU,10,9.45777,19.108913,6.5254,6.7835,0.830105,2.668967,47.3,9.45777,,
TFT,DAU,1,5.880954,11.386556,3.427,3.4232,0.962144,1.033149,60.1,,,
TFT,DAU,20,12.036424,24.845533,8.6742,8.8958,0.608127,4.409189,47.16,12.036424,,
TFT,DAU,3,9.456526,18.44639,5.6159,5.5827,0.901106,1.697482,50.0,,,
TFT,DAU,5,10.422102,17.339806,6.3317,6.5485,0.912211,1.830925,53.54,,,
TFT,DAU,60,11.378731,24.701305,9.9056,11.0619,-0.214299,7.047258,47.02,11.378731,,
TFT,DAU,7,10.810423,20.929393,7.1032,7.2013,0.834849,2.643577,52.05,10.810423,,
TFT,XANG,10,5.022679,10.270329,4.6114,4.8838,0.808492,1.401019,53.21,,,
TFT,XANG,1,3.184326,5.838362,2.7691,2.7634,0.963208,0.65915,56.06,,,
TFT,XANG,20,6.276922,12.258919,6.0901,6.5341,0.629169,2.111578,47.99,,,
TFT,XANG,3,5.182687,9.096282,4.5498,4.5872,0.910245,1.074465,45.41,,,
TFT,XANG,5,6.130454,10.301997,5.3685,5.5823,0.885443,1.268994,49.49,,,
TFT,XANG,60,9.915515,15.378324,10.7808,11.8413,-0.390034,2.892,48.54,,,
TFT,XANG,7,4.978161,8.877905,4.5466,4.6551,0.885252,1.229041,41.44,,,
TTM,DAU,10,9.695707,19.497793,6.5641,6.8248,0.823119,2.736112,45.12,9.695707,,
TTM,DAU,1,6.063214,12.070243,3.5016,3.4998,0.957461,1.065168,61.62,,,
TTM,DAU,20,14.084631,31.562261,9.8277,9.416,0.36761,5.159489,47.16,14.084631,,
TTM,DAU,3,9.171693,18.05956,5.4809,5.5084,0.90521,1.646353,52.55,,,
TTM,DAU,5,10.667551,17.963396,6.3898,6.6458,0.905783,1.874044,52.53,,,
TTM,DAU,60,9.671586,23.93963,8.1884,8.9817,-0.140566,5.989962,47.95,9.671586,,
TTM,DAU,7,11.770509,24.571285,7.477,7.4311,0.772373,2.878356,50.0,11.770509,,
TTM,XANG,10,5.088983,10.247757,4.633,4.8783,0.809333,1.419513,50.26,,,
TTM,XANG,1,3.077876,5.463062,2.6964,2.7054,0.967786,0.637115,58.59,,,
TTM,XANG,20,6.236798,11.595609,6.1076,6.4509,0.668213,2.09808,46.32,,,
TTM,XANG,3,4.923786,8.750292,4.3504,4.4212,0.916943,1.020791,44.9,,,
TTM,XANG,5,5.894721,9.962955,5.119,5.3667,0.89286,1.220198,45.45,,,
TTM,XANG,60,7.32223,13.997583,7.5944,8.1889,-0.151631,2.135632,47.05,,,
TTM,XANG,7,4.993269,8.864381,4.4831,4.648,0.885601,1.232771,47.26,,,
TimeMachine,XANG,10,5.117666,10.236667,4.6878,4.8958,0.809746,1.427514,49.36,5.117666,,
TimeMachine,XANG,1,3.336962,6.137975,2.8985,2.9205,0.959334,0.690746,58.08,,,
TimeMachine,XANG,20,6.595026,11.795184,6.4812,6.8305,0.656694,2.21859,48.16,,,
TimeMachine,XANG,3,4.898829,8.381359,4.3394,4.3809,0.9238,1.015617,51.02,4.898829,,
TimeMachine,XANG,5,5.518802,8.822383,4.9307,5.1059,0.915987,1.142383,52.53,,,
TimeMachine,XANG,60,6.846232,12.86038,7.154,7.6686,0.027891,1.9968,48.0,6.846232,,
TimeMachine,XANG,7,5.064269,9.075214,4.5586,4.6892,0.880095,1.2503,47.26,,,
TimeMixer,DAU,10,9.853614,19.936184,6.6798,6.9077,0.815076,2.780673,48.71,9.853614,,
TimeMixer,DAU,1,5.745297,11.153752,3.346,3.3479,0.963676,1.009317,60.1,5.745297,,
TimeMixer,DAU,20,12.784222,27.960692,8.8242,8.811,0.503699,4.683123,49.0,12.784222,,
TimeMixer,DAU,3,9.491711,18.139616,5.6808,5.7647,0.904368,1.703798,47.96,,,
TimeMixer,DAU,5,10.506449,17.457091,6.4445,6.7015,0.91102,1.845743,44.95,,,
TimeMixer,DAU,60,9.511313,23.653533,7.9854,8.8884,-0.113468,5.890699,49.05,9.511313,,
TimeMixer,DAU,7,10.80712,20.993327,7.1489,7.1706,0.833839,2.642769,53.77,10.80712,,
TimeMixer,XANG,10,5.433424,11.319508,4.9517,5.2665,0.767367,1.515591,50.64,,,
TimeMixer,XANG,1,3.124152,5.776923,2.7577,2.7604,0.963978,0.646695,55.56,,,
TimeMixer,XANG,20,6.887065,12.98569,6.6364,7.09,0.583896,2.316832,41.97,,,
TimeMixer,XANG,3,5.436949,9.768878,4.8017,4.9139,0.896481,1.127179,44.39,,,
TimeMixer,XANG,5,6.330863,11.110342,5.5222,5.8499,0.866761,1.310479,43.43,,,
TimeMixer,XANG,60,6.723528,12.61076,6.9262,7.4562,0.065262,1.961012,49.17,6.723528,,
TimeMixer,XANG,7,4.497352,8.130157,4.1399,4.1998,0.903767,1.110336,48.63,,,
TimeXer,XANG,10,5.188472,10.358582,4.7312,4.9379,0.805187,1.447265,48.84,,,
TimeXer,XANG,1,4.128676,7.941614,3.5238,3.5432,0.931924,0.854629,47.47,,,
TimeXer,XANG,20,5.560108,10.450702,5.5218,5.8087,0.730497,1.87044,51.84,,,
TimeXer,XANG,3,4.699221,8.596454,4.1586,4.1583,0.919838,0.974234,48.47,,,
TimeXer,XANG,5,5.479743,9.019863,4.7931,4.9693,0.912183,1.134298,51.01,,,
TimeXer,XANG,60,6.552321,13.654757,6.6222,7.1833,-0.095911,1.911077,47.47,,,
TimeXer,XANG,7,5.029141,9.06923,4.523,4.6678,0.880253,1.241627,47.95,,,
Time_MoE,XANG,10,5.12311,10.244082,4.6828,4.9231,0.80947,1.429033,55.01,,,
Time_MoE,XANG,1,3.139659,5.667997,2.7534,2.7623,0.965323,0.649904,54.04,,,
Time_MoE,XANG,20,5.87878,11.094827,5.7615,6.0696,0.696252,1.977642,44.65,,,
Time_MoE,XANG,3,5.217313,9.349829,4.6133,4.7291,0.905172,1.081644,44.39,,,
Time_MoE,XANG,5,5.956978,9.96948,5.2615,5.4932,0.892719,1.233085,44.44,,,
Time_MoE,XANG,60,7.485979,14.168104,7.764,8.4203,-0.179861,2.183392,49.05,,,
Time_MoE,XANG,7,5.273763,9.393153,4.734,4.8626,0.871546,1.302021,50.34,,,
TimesFM,DAU,10,9.610297,19.772427,6.4147,6.6934,0.818101,2.71201,48.84,9.610297,,
TimesFM,DAU,1,6.112611,11.864844,3.5448,3.5526,0.958897,1.073846,57.07,,,
TimesFM,DAU,20,12.628721,26.919223,8.9068,8.9107,0.539983,4.62616,51.34,12.628721,,
TimesFM,DAU,3,9.143055,17.630664,5.4581,5.4946,0.909659,1.641213,55.61,,,
TimesFM,DAU,5,10.594713,17.882105,6.2939,6.5332,0.906634,1.861249,56.06,10.594713,,
TimesFM,DAU,60,9.871486,24.456439,8.337,9.24,-0.190343,6.113767,47.83,9.871486,,
TimesFM,DAU,7,11.074139,21.289719,7.2508,7.3603,0.829114,2.708065,51.71,11.074139,,
TimesFM,XANG,10,4.883816,9.89514,4.493,4.7513,0.822229,1.362284,48.84,4.883816,,
TimesFM,XANG,1,2.813604,5.089455,2.4683,2.4668,0.972041,0.582412,62.63,,,
TimesFM,XANG,20,5.906459,11.433024,5.7138,6.0463,0.677452,1.986953,50.33,5.906459,,
TimesFM,XANG,3,4.922827,8.39482,4.3339,4.3608,0.923555,1.020592,43.88,4.922827,,
TimesFM,XANG,5,5.467213,9.000592,4.7887,4.974,0.912558,1.131704,48.48,,,
TimesFM,XANG,60,7.661951,14.232923,7.9694,8.4665,-0.190681,2.234717,48.12,7.661951,,
TimesFM,XANG,7,4.995268,8.815433,4.5032,4.6655,0.886861,1.233264,49.32,,,
TimesNet,DAU,10,9.69199,19.919448,6.5695,6.8144,0.815386,2.735063,47.04,9.69199,,
TimesNet,DAU,1,6.076808,11.813224,3.5379,3.5311,0.959254,1.067556,58.08,,,
TimesNet,DAU,20,13.428391,28.624458,9.5852,9.3991,0.479856,4.919095,47.16,13.428391,,
TimesNet,DAU,3,9.500668,17.998915,5.6941,5.7059,0.905845,1.705406,47.45,,,
TimesNet,DAU,5,11.566514,19.644361,6.869,7.073,0.887325,2.031972,47.98,,,
TimesNet,DAU,60,9.585884,24.367326,8.0069,9.0496,-0.181684,5.936883,47.89,9.585884,,
TimesNet,DAU,7,11.721679,23.14149,7.7002,7.6354,0.798094,2.866415,51.37,11.721679,,
TimesNet,XANG,10,5.104164,10.193957,4.6761,4.9552,0.81133,1.423748,50.13,,,
TimesNet,XANG,1,3.119247,5.742288,2.7428,2.7401,0.964408,0.645679,59.09,,,
TimesNet,XANG,20,7.188798,12.617452,7.0452,7.3958,0.60716,2.418337,46.49,,,
TimesNet,XANG,3,4.97762,8.86582,4.405,4.4525,0.914736,1.031951,46.43,,,
TimesNet,XANG,5,5.693904,9.610522,4.9955,5.1955,0.900306,1.178629,38.89,,,
TimesNet,XANG,60,8.721225,16.054703,9.0373,10.1592,-0.514997,2.543669,46.28,8.721225,,
TimesNet,XANG,7,4.693565,8.661058,4.2479,4.3515,0.890789,1.158778,49.66,,,
UniTS,XANG,10,5.38453,11.083166,4.8386,5.1267,0.77698,1.501953,48.84,,,
UniTS,XANG,1,3.271066,5.825642,2.8473,2.8527,0.963368,0.677105,49.49,,,
