model,target,horizon,MAE,RMSE,MAPE,sMAPE,R2,MASE,DA,crps,PICP,PINAW
DLinear,XANG,10,4.985439,9.966797,4.6074,4.8467,0.819645,1.390631,44.6,,,
DLinear,XANG,1,3.0237472007572648,5.572081763213648,2.645646633217501,,0.9664870877125693,,54.54545454545454,,,
DLinear,XANG,20,6.567154,12.541655,6.2389,6.5401,0.611866,2.209213,48.66,,,
DLinear,XANG,3,5.021058,9.249422,4.4526,4.5631,0.907198,1.040957,44.39,,,
DLinear,XANG,5,5.883495,10.073269,5.191,5.4211,0.890474,1.217874,45.45,,,
DLinear,XANG,60,6.97068,13.796265,7.1307,7.6912,-0.118743,2.033097,46.63,,,
DLinear,XANG,7,4.597803,8.265258,4.2092,4.2883,0.900542,1.135136,47.26,,,
FITS,XANG,10,4.952997,10.096476,4.5403,4.793,0.814921,1.381582,49.87,,,
FITS,XANG,1,3.359962,5.877543,2.9093,2.9133,0.962712,0.695507,54.55,,,
FITS,XANG,20,5.986309,11.080294,5.8613,6.1464,0.697047,2.013815,47.49,,,
FITS,XANG,3,5.047509,8.913563,4.4566,4.5367,0.913815,1.046441,44.39,,,
FITS,XANG,5,5.799265,9.421139,5.096,5.2823,0.904196,1.200439,45.45,,,
FITS,XANG,60,7.253829,14.076142,7.4813,8.0163,-0.164594,2.115682,46.81,,,
FITS,XANG,7,5.011424,8.965777,4.4994,4.641,0.882969,1.237253,45.21,,,
FedFormer,XANG,10,4.959724,9.97005,4.5796,4.85,0.819527,1.383458,51.16,,,
FedFormer,XANG,1,3.154604,5.49439,2.7291,2.7326,0.967415,0.652998,54.55,,,
FedFormer,XANG,20,6.150525,12.17518,5.9048,6.2671,0.634218,2.069058,50.17,,,
FedFormer,XANG,3,5.405927,10.455596,4.7134,4.8919,0.881416,1.120747,51.53,,,
FedFormer,XANG,5,5.642165,9.477338,4.9498,5.1448,0.90305,1.167919,46.97,,,
FedFormer,XANG,60,7.064773,14.262111,7.2476,7.7711,-0.19557,2.060541,48.09,,,
FedFormer,XANG,7,4.128977,7.794482,3.793,3.9462,0.91155,1.019389,47.26,,,
GPT4TS,XANG,10,5.086183,10.278845,4.6488,4.8823,0.808175,1.418732,47.3,5.086183,,
GPT4TS,XANG,1,3.673184,7.114743,3.0933,3.0867,0.945362,0.760343,51.01,,,
GPT4TS,XANG,20,8.279158,15.648195,7.8035,7.8474,0.395772,2.785137,45.65,8.279158,,
GPT4TS,XANG,3,5.178053,9.212917,4.4738,4.5502,0.907929,1.073505,50.0,5.178053,,
GPT4TS,XANG,5,6.042672,10.115683,5.1984,5.4331,0.88955,1.250824,45.96,,,
GPT4TS,XANG,60,6.608406,13.56318,6.7554,7.2919,-0.081261,1.927435,47.08,6.608406,,
GPT4TS,XANG,7,4.219245,7.89658,3.9082,4.0705,0.909217,1.041675,49.32,4.219245,,
GUMNet,DAU,10,10.043944,20.976924,6.6713,6.8764,0.795265,2.834384,45.12,8.061662,69.87,14.3096
GUMNet,DAU,1,5.849609,11.242562,3.4215,3.4422,0.963095,1.027642,60.61,,65.5,13.8185
GUMNet,DAU,20,12.208509,26.16002,8.6039,8.5858,0.565565,4.472228,46.82,9.760314,74.67,19.5195
GUMNet,DAU,3,9.050889,17.744341,5.3721,5.4062,0.90849,1.624669,45.41,6.210441,80.3,21.2771
GUMNet,DAU,5,10.471423,18.072758,6.2056,6.4283,0.904633,1.839589,51.52,,63.5,19.9109
GUMNet,DAU,60,9.320234,24.133632,7.7528,8.6111,-0.159127,5.772357,48.54,7.450414,91.22,26.6628
GUMNet,DAU,7,11.173014,21.225253,7.3748,7.4625,0.830147,2.732244,51.03,8.019472,64.63,17.8116
GUMNet,XANG,10,4.795618,9.88272,4.403,4.6509,0.822675,1.337683,52.57,,76.67,9.8678
GUMNet,XANG,1,3.280768,5.836519,2.8698,2.8712,0.963231,0.679114,58.08,,71.0,7.2897
GUMNet,XANG,20,5.823984,11.264138,5.5985,5.8928,0.686911,1.959209,47.83,,85.17,15.4468
GUMNet,XANG,3,4.841295,8.271103,4.2568,4.2936,0.925791,1.003689,51.02,,72.22,10.9757
GUMNet,XANG,5,5.416094,8.893324,4.7238,4.8987,0.91463,1.121123,52.53,,69.5,10.3478
GUMNet,XANG,60,7.031573,14.327034,7.2172,7.7767,-0.206479,2.050858,47.29,5.455069,88.01,23.8463
GUMNet,XANG,7,4.911313,8.782705,4.434,4.5714,0.887699,1.212537,47.6,,66.67,8.9424
GUMNetHet,DAU,10,9.19258,18.369032,6.158,6.4029,0.843319,5.12499,32.29,6.483685,68.25,16.5564
GUMNetHet,DAU,1,5.602343,11.381993,3.2397,3.264,0.962174,0.984203,84.92,4.777177,56.5,4.4216
GUMNetHet,DAU,20,9.456185,20.713548,6.8514,7.2541,0.719197,3.602786,71.11,7.462416,77.72,19.4133
GUMNetHet,DAU,3,8.853582,17.038021,5.3494,5.3854,0.91563,1.589251,76.65,6.724314,64.14,14.7697
GUMNetHet,DAU,5,9.215861,16.295385,5.6464,5.8002,0.922468,1.619016,76.88,6.203067,67.5,19.1749
GUMNetHet,DAU,60,7.066374,18.018651,6.4104,6.8414,-0.007174,12.996483,19.1,5.447214,83.09,20.4507
GUMNetHet,DAU,7,9.657774,18.331695,6.4634,6.5837,0.873301,2.361708,83.28,6.928326,66.67,14.7036
GUMNetHet,XANG,10,4.396984,8.978809,4.0897,4.2943,0.852198,2.423062,42.24,3.274058,77.73,10.4322
GUMNetHet,XANG,1,2.792103,5.02489,2.4512,2.4547,0.972746,0.577961,91.46,2.022143,65.5,5.5534
GUMNetHet,XANG,20,5.411536,10.361725,5.3695,5.6502,0.726177,1.893399,91.65,3.962123,77.56,13.7732
GUMNetHet,XANG,3,4.669104,8.489799,4.1391,4.1445,0.921815,0.96799,91.37,3.478052,70.2,10.9757
GUMNetHet,XANG,5,4.889171,8.256169,4.3651,4.4775,0.926424,1.012051,90.95,3.323552,74.5,13.5885
GUMNetHet,XANG,60,4.847036,10.447382,5.1052,5.3753,0.155248,4.198191,27.95,4.007687,92.82,22.8076
GUMNetHet,XANG,7,4.069493,7.678473,3.7587,3.8895,0.914163,1.004703,95.56,2.936021,76.53,11.8952
GUMNet_Adaptive,DAU,10,9.366917,19.135176,6.3228,6.5267,0.829637,2.643328,49.36,7.754353,64.62,9.9567
GUMNet_Adaptive,DAU,1,5.714831,11.511433,3.3184,3.3557,0.961309,1.003965,59.09,4.891908,54.0,4.4216
GUMNet_Adaptive,DAU,20,12.457667,26.801707,8.771,8.7169,0.543991,4.563499,49.83,10.387639,64.5,12.9868
GUMNet_Adaptive,DAU,3,9.789583,18.615747,5.8258,5.7408,0.899281,1.757267,51.53,8.413508,48.48,6.8929
GUMNet_Adaptive,DAU,5,11.236174,18.556016,6.757,6.8888,0.899464,1.973939,57.58,9.588441,52.5,8.5084
GUMNet_Adaptive,DAU,60,9.177711,23.335161,7.6957,8.4708,-0.083696,5.684087,47.29,7.438557,85.33,25.0871
GUMNet_Adaptive,DAU,7,10.651725,21.445068,6.9391,6.9627,0.826611,2.604769,57.53,9.082061,58.84,9.0195
GUMNet_Adaptive,XANG,10,4.772995,9.608778,4.4475,4.6625,0.832369,1.331372,52.57,3.687636,73.08,8.1023
GUMNet_Adaptive,XANG,1,3.119956,5.674067,2.6902,2.679,0.965249,0.645826,53.54,2.522261,54.5,3.3021
