13:44:18 | ================================================================================
13:44:18 |  TTM | XANG | H1 | walkforward | seed=9999
13:44:18 | ================================================================================
13:44:18 | Data: 4513 rows | Features: 15
13:47:14 |  Iter-01 | MAE=0.204 | MAPE=0.26%
13:50:36 |  Iter-02 | MAE=0.207 | MAPE=0.27%
13:53:46 |  Iter-03 | MAE=0.283 | MAPE=0.36%
13:56:51 |  Iter-04 | MAE=2.425 | MAPE=3.22%
14:00:56 |  Iter-05 | MAE=0.457 | MAPE=0.61%
14:04:20 |  Iter-06 | MAE=0.657 | MAPE=0.88%
14:07:54 |  Iter-07 | MAE=1.158 | MAPE=1.58%
14:11:34 |  Iter-08 | MAE=0.443 | MAPE=0.60%
14:14:31 |  Iter-09 | MAE=0.967 | MAPE=1.31%
14:17:41 |  Iter-10 | MAE=1.111 | MAPE=1.50%
14:20:41 |  Iter-11 | MAE=0.528 | MAPE=0.72%
14:22:43 |  Iter-12 | MAE=0.574 | MAPE=0.79%
14:25:49 |  Iter-13 | MAE=0.729 | MAPE=1.00%
14:28:33 |  Iter-14 | MAE=0.092 | MAPE=0.13%
14:31:40 |  Iter-15 | MAE=0.333 | MAPE=0.46%
14:34:43 |  Iter-16 | MAE=0.599 | MAPE=0.82%
14:37:10 |  Iter-17 | MAE=0.659 | MAPE=0.91%
14:39:30 |  Iter-18 | MAE=1.213 | MAPE=1.71%
14:42:44 |  Iter-19 | MAE=0.315 | MAPE=0.44%
14:45:07 |  Iter-20 | MAE=1.235 | MAPE=1.76%
14:47:29 |  Iter-21 | MAE=1.001 | MAPE=1.42%
14:49:58 |  Iter-22 | MAE=0.630 | MAPE=0.87%
14:53:56 |  Iter-23 | MAE=1.117 | MAPE=1.54%
14:56:23 |  Iter-24 | MAE=0.029 | MAPE=0.04%
14:59:04 |  Iter-25 | MAE=1.606 | MAPE=2.22%
15:02:01 |  Iter-26 | MAE=1.928 | MAPE=2.68%
15:04:17 |  Iter-27 | MAE=0.507 | MAPE=0.71%
15:07:02 |  Iter-28 | MAE=0.402 | MAPE=0.57%
15:10:04 |  Iter-29 | MAE=0.424 | MAPE=0.59%
