Concurrent run started: 2026-08-25T11:40:32.341065
GPU: 2 | Models: 14 | Jobs: 98

[  46/98]  46.9% | OK:46   FAIL:0    SKIP:0   | OK           | 2265s | ETA:2172m | GUMNetHet|DAU|H7|s777
[  47/98]  48.0% | OK:47   FAIL:0    SKIP:0   | OK           | 11177s | ETA:2097m | GUMNet_iTrans|DAU|H7|s777
[  48/98]  49.0% | OK:48   FAIL:0    SKIP:0   | OK           | 10022s | ETA:2017m | GUMNet_Patch|DAU|H7|s777
[  49/98]  50.0% | OK:49   FAIL:0    SKIP:0   | OK           | 10830s | ETA:1942m | GUMNet_Mamba|DAU|H7|s777
[  50/98]  51.0% | OK:50   FAIL:0    SKIP:0   | OK           | 12346s | ETA:1902m | GUMNet_Diffusion|DAU|H7|s777
[  51/98]  52.0% | OK:51   FAIL:0    SKIP:0   | OK           | 11060s | ETA:1884m | GUMNet_Graph|DAU|H7|s777
[  52/98]  53.1% | OK:52   FAIL:0    SKIP:0   | OK           | 10798s | ETA:1859m | GUMNet_Decomp|DAU|H7|s777
[  53/98]  54.1% | OK:53   FAIL:0    SKIP:0   | OK           | 10305s | ETA:1789m | GUMNet_RL|DAU|H7|s777
[  54/98]  55.1% | OK:54   FAIL:0    SKIP:0   | OK           | 11336s | ETA:1719m | GUMNet_Adaptive|DAU|H7|s777
[  55/98]  56.1% | OK:55   FAIL:0    SKIP:0   | OK           | 12091s | ETA:1669m | GUMNet_Fusion|DAU|H7|s777
[  56/98]  57.1% | OK:56   FAIL:0    SKIP:0   | OK           | 10836s | ETA:1621m | GUMNet|DAU|H10|s777
[  57/98]  58.2% | OK:57   FAIL:0    SKIP:0   | OK           | 16953s | ETA:1600m | GUMNet_MoE_Sparse|DAU|H7|s777
[  58/98]  59.2% | OK:58   FAIL:0    SKIP:0   | OK           | 22077s | ETA:1663m | GUMNet_Wavelet|DAU|H10|s777
[  59/98]  60.2% | OK:59   FAIL:0    SKIP:0   | OK           | 21595s | ETA:1627m | GUMNet_Fourier|DAU|H10|s777
[  60/98]  61.2% | OK:60   FAIL:0    SKIP:0   | OK           | 3817s | ETA:1568m | GUMNetHet|DAU|H10|s777
[  61/98]  62.2% | OK:61   FAIL:0    SKIP:0   | OK           | 22602s | ETA:1507m | GUMNet_iTrans|DAU|H10|s777
[  62/98]  63.3% | OK:62   FAIL:0    SKIP:0   | OK           | 22936s | ETA:1447m | GUMNet_Mamba|DAU|H10|s777
[  63/98]  64.3% | OK:63   FAIL:0    SKIP:0   | OK           | 21895s | ETA:1389m | GUMNet_Patch|DAU|H10|s777
[  64/98]  65.3% | OK:64   FAIL:0    SKIP:0   | OK           | 24404s | ETA:1364m | GUMNet_Diffusion|DAU|H10|s777
[  65/98]  66.3% | OK:65   FAIL:0    SKIP:0   | OK           | 22184s | ETA:1317m | GUMNet_Graph|DAU|H10|s777
[  66/98]  67.3% | OK:66   FAIL:0    SKIP:0   | OK           | 7782s | ETA:1308m | GUMNet|DAU|H20|s777
[  67/98]  68.4% | OK:67   FAIL:0    SKIP:0   | OK           | 22126s | ETA:1316m | GUMNet_Decomp|DAU|H10|s777
[  68/98]  69.4% | OK:68   FAIL:0    SKIP:0   | OK           | 23331s | ETA:1258m | GUMNet_Adaptive|DAU|H10|s777
[  69/98]  70.4% | OK:69   FAIL:0    SKIP:0   | OK           | 21725s | ETA:1199m | GUMNet_RL|DAU|H10|s777
[  70/98]  71.4% | OK:70   FAIL:0    SKIP:0   | OK           | 16787s | ETA:1150m | GUMNet_Wavelet|DAU|H20|s777
[  71/98]  72.4% | OK:71   FAIL:0    SKIP:0   | OK           | 24702s | ETA:1101m | GUMNet_Fusion|DAU|H10|s777
