Concurrent run started: 2026-08-17T01:54:25.428070
GPU: 2 | Models: 47 | Jobs: 658

[  48/658]   7.3% | OK:48   FAIL:0    SKIP:0   | OK           | 3992s | ETA:37931m | NBEATS|XANG|H3|s2025
[  49/658]   7.4% | OK:49   FAIL:0    SKIP:0   | OK           | 4098s | ETA:37148m | NHits|XANG|H3|s2025
[  50/658]   7.6% | OK:50   FAIL:0    SKIP:0   | OK           | 4803s | ETA:36500m | PatchTST|XANG|H3|s2025
[  51/658]   7.8% | OK:51   FAIL:0    SKIP:0   | OK           | 18115s | ETA:36093m | GUMNetHet|XANG|H1|s2025
[  52/658]   7.9% | OK:52   FAIL:0    SKIP:0   | OK           | 4610s | ETA:35351m | TFT|XANG|H3|s2025
[  53/658]   8.1% | OK:53   FAIL:0    SKIP:0   | OK           | 4136s | ETA:34905m | FedFormer|XANG|H3|s2025
[  54/658]   8.2% | OK:54   FAIL:0    SKIP:0   | OK           | 5045s | ETA:34325m | Autoformer|XANG|H3|s2025
[  55/658]   8.4% | OK:55   FAIL:0    SKIP:0   | OK           | 4560s | ETA:33742m | Informer|XANG|H3|s2025
[  56/658]   8.5% | OK:56   FAIL:0    SKIP:0   | OK           | 5049s | ETA:33514m | iTransformer|XANG|H3|s2025
[  57/658]   8.7% | OK:57   FAIL:0    SKIP:0   | OK           | 45564s | ETA:32896m | GUMNet_Fusion|XANG|H1|s2025
[  58/658]   8.8% | OK:58   FAIL:0    SKIP:0   | OK           | 3887s | ETA:32303m | UniTS|XANG|H3|s2025
[  59/658]   9.0% | OK:59   FAIL:0    SKIP:0   | OK           | 5556s | ETA:31728m | Reformer|XANG|H3|s2025
[  60/658]   9.1% | OK:60   FAIL:0    SKIP:0   | OK           | 4423s | ETA:31320m | TimeXer|XANG|H3|s2025
[  61/658]   9.3% | OK:61   FAIL:0    SKIP:0   | OK           | 5234s | ETA:30974m | Crossformer|XANG|H3|s2025
[  62/658]   9.4% | OK:62   FAIL:0    SKIP:0   | OK           | 3822s | ETA:30582m | CARD|XANG|H3|s2025
[  63/658]   9.6% | OK:63   FAIL:0    SKIP:0   | OK           | 4117s | ETA:30139m | TimeMixer|XANG|H3|s2025
[  64/658]   9.7% | OK:64   FAIL:0    SKIP:0   | OK           | 5069s | ETA:29741m | TimesNet|XANG|H3|s2025
[  65/658]   9.9% | OK:65   FAIL:0    SKIP:0   | OK           | 4961s | ETA:29265m | TTM|XANG|H3|s2025
[  66/658]  10.0% | OK:66   FAIL:0    SKIP:0   | OK           | 3334s | ETA:28886m | CoST|XANG|H3|s2025
[  67/658]  10.2% | OK:67   FAIL:0    SKIP:0   | OK           | 5623s | ETA:28546m | FITS|XANG|H3|s2025
[  68/658]  10.3% | OK:68   FAIL:0    SKIP:0   | OK           | 39594s | ETA:28200m | GUMNet_Adaptive|XANG|H1|s2025
