Concurrent run started: 2026-08-25T11:40:32.378042
GPU: 3 | Models: 13 | Jobs: 89

[  49/89]  55.1% | OK:49   FAIL:0    SKIP:2   | OK           | 1931s | ETA:698m  | Autoformer|DAU|H7|s777
[  50/89]  56.2% | OK:50   FAIL:0    SKIP:2   | OK           | 2601s | ETA:674m  | TFT|DAU|H7|s777
[  51/89]  57.3% | OK:51   FAIL:0    SKIP:2   | OK           | 3961s | ETA:668m  | TimesFM|DAU|H10|s777
[  52/89]  58.4% | OK:52   FAIL:0    SKIP:2   | OK           | 3914s | ETA:639m  | Chronos|DAU|H10|s777
[  53/89]  59.6% | OK:53   FAIL:0    SKIP:2   | OK           | 4424s | ETA:621m  | Moirai|DAU|H10|s777
[  54/89]  60.7% | OK:54   FAIL:0    SKIP:2   | OK           | 4487s | ETA:596m  | TTM|DAU|H10|s777
[  55/89]  61.8% | OK:55   FAIL:0    SKIP:2   | OK           | 4071s | ETA:577m  | DLinear|DAU|H10|s777
[  56/89]  62.9% | OK:56   FAIL:0    SKIP:2   | OK           | 5634s | ETA:558m  | PatchTST|DAU|H10|s777
[  57/89]  64.0% | OK:57   FAIL:0    SKIP:2   | OK           | 4708s | ETA:548m  | iTransformer|DAU|H10|s777
[  58/89]  65.2% | OK:58   FAIL:0    SKIP:2   | OK           | 4925s | ETA:523m  | LTSF_Linear|DAU|H10|s777
[  59/89]  66.3% | OK:59   FAIL:0    SKIP:2   | OK           | 3946s | ETA:501m  | TimeMixer|DAU|H10|s777
[  60/89]  67.4% | OK:60   FAIL:0    SKIP:2   | OK           | 8385s | ETA:481m  | RLinear|DAU|H10|s777
[  61/89]  68.5% | OK:61   FAIL:0    SKIP:2   | OK           | 3149s | ETA:458m  | Autoformer|DAU|H10|s777
[  62/89]  69.7% | OK:62   FAIL:0    SKIP:2   | OK           | 5182s | ETA:436m  | TimesNet|DAU|H10|s777
[  63/89]  70.8% | OK:63   FAIL:0    SKIP:2   | OK           | 4621s | ETA:417m  | TFT|DAU|H10|s777
[  64/89]  71.9% | OK:64   FAIL:0    SKIP:2   | OK           | 1936s | ETA:395m  | Chronos|DAU|H20|s777
[  65/89]  73.0% | OK:65   FAIL:0    SKIP:2   | OK           | 2353s | ETA:375m  | TimesFM|DAU|H20|s777
[  66/89]  74.2% | OK:66   FAIL:0    SKIP:2   | OK           | 2144s | ETA:359m  | TTM|DAU|H20|s777
[  67/89]  75.3% | OK:67   FAIL:0    SKIP:2   | OK           | 2757s | ETA:339m  | Moirai|DAU|H20|s777
[  68/89]  76.4% | OK:68   FAIL:0    SKIP:2   | OK           | 2241s | ETA:320m  | RLinear|DAU|H20|s777
[  69/89]  77.5% | OK:69   FAIL:0    SKIP:2   | OK           | 1991s | ETA:302m  | DLinear|DAU|H20|s777
[  70/89]  78.7% | OK:70   FAIL:0    SKIP:2   | OK           | 2818s | ETA:284m  | PatchTST|DAU|H20|s777
[  71/89]  79.8% | OK:71   FAIL:0    SKIP:2   | OK           | 2165s | ETA:265m  | LTSF_Linear|DAU|H20|s777
[  72/89]  80.9% | OK:72   FAIL:0    SKIP:2   | OK           | 2419s | ETA:249m  | iTransformer|DAU|H20|s777
[  73/89]  82.0% | OK:73   FAIL:0    SKIP:2   | OK           | 2105s | ETA:234m  | TimeMixer|DAU|H20|s777
[  74/89]  83.1% | OK:74   FAIL:0    SKIP:2   | OK           | 1702s | ETA:217m  | Autoformer|DAU|H20|s777
[  75/89]  84.3% | OK:75   FAIL:0    SKIP:2   | OK           | 2611s | ETA:202m  | TFT|DAU|H20|s777
[  76/89]  85.4% | OK:76   FAIL:0    SKIP:2   | OK           | 3469s | ETA:186m  | TimesNet|DAU|H20|s777
[  77/89]  86.5% | OK:77   FAIL:0    SKIP:2   | OK           | 4575s | ETA:175m  | Chronos|DAU|H60|s777
[  78/89]  87.6% | OK:78   FAIL:0    SKIP:2   | OK           | 4711s | ETA:160m  | Moirai|DAU|H60|s777
[  79/89]  88.8% | OK:79   FAIL:0    SKIP:2   | OK           | 4541s | ETA:145m  | TTM|DAU|H60|s777
[  80/89]  89.9% | OK:80   FAIL:0    SKIP:2   | OK           | 6581s | ETA:130m  | TimesFM|DAU|H60|s777
[  81/89]  91.0% | OK:81   FAIL:0    SKIP:2   | OK           | 5009s | ETA:115m  | RLinear|DAU|H60|s777
[  82/89]  92.1% | OK:82   FAIL:0    SKIP:2   | OK           | 4611s | ETA:99m   | DLinear|DAU|H60|s777
[  83/89]  93.3% | OK:83   FAIL:0    SKIP:2   | OK           | 4928s | ETA:87m   | LTSF_Linear|DAU|H60|s777
[  84/89]  94.4% | OK:84   FAIL:0    SKIP:2   | OK           | 9097s | ETA:73m   | PatchTST|DAU|H60|s777
[  85/89]  95.5% | OK:85   FAIL:0    SKIP:2   | OK           | 5928s | ETA:58m   | iTransformer|DAU|H60|s777
[  86/89]  96.6% | OK:86   FAIL:0    SKIP:2   | OK           | 4554s | ETA:43m   | Autoformer|DAU|H60|s777
[  87/89]  97.8% | OK:87   FAIL:0    SKIP:2   | OK           | 5380s | ETA:29m   | TimeMixer|DAU|H60|s777
[  88/89]  98.9% | OK:88   FAIL:0    SKIP:2   | OK           | 5449s | ETA:14m   | TFT|DAU|H60|s777
[  89/89] 100.0% | OK:89   FAIL:0    SKIP:2   | OK           | 7858s | ETA:0s    | TimesNet|DAU|H60|s777
