00:04:07 | ================================================================================
00:04:07 |  TEMPO | XANG | H1 | walkforward | seed=777
00:04:07 | ================================================================================
00:04:07 | Data: 4513 rows | Features: 15
00:10:00 |  Iter-01 | MAE=0.149 | MAPE=0.19%
00:15:12 |  Iter-02 | MAE=0.275 | MAPE=0.35%
00:19:38 |  Iter-03 | MAE=0.609 | MAPE=0.78%
00:25:30 |  Iter-04 | MAE=2.787 | MAPE=3.71%
00:33:10 |  Iter-05 | MAE=0.417 | MAPE=0.56%
00:39:32 |  Iter-06 | MAE=0.772 | MAPE=1.04%
00:46:37 |  Iter-07 | MAE=1.457 | MAPE=1.99%
00:53:00 |  Iter-08 | MAE=0.451 | MAPE=0.61%
00:57:43 |  Iter-09 | MAE=1.030 | MAPE=1.39%
01:05:02 |  Iter-10 | MAE=1.105 | MAPE=1.50%
01:08:00 |  Iter-11 | MAE=0.182 | MAPE=0.25%
01:13:26 |  Iter-12 | MAE=0.789 | MAPE=1.08%
01:17:05 |  Iter-13 | MAE=0.701 | MAPE=0.97%
01:22:24 |  Iter-14 | MAE=0.394 | MAPE=0.54%
01:25:34 |  Iter-15 | MAE=0.237 | MAPE=0.33%
01:31:25 |  Iter-16 | MAE=0.448 | MAPE=0.62%
01:36:53 |  Iter-17 | MAE=0.521 | MAPE=0.72%
01:42:11 |  Iter-18 | MAE=1.526 | MAPE=2.16%
01:51:06 |  Iter-19 | MAE=0.134 | MAPE=0.18%
01:55:35 |  Iter-20 | MAE=1.015 | MAPE=1.45%
01:59:30 |  Iter-21 | MAE=0.832 | MAPE=1.18%
02:06:50 |  Iter-22 | MAE=0.949 | MAPE=1.31%
02:10:53 |  Iter-23 | MAE=1.826 | MAPE=2.52%
02:17:59 |  Iter-24 | MAE=0.276 | MAPE=0.38%
02:23:21 |  Iter-25 | MAE=1.376 | MAPE=1.90%
02:29:03 |  Iter-26 | MAE=1.961 | MAPE=2.72%
02:34:28 |  Iter-27 | MAE=0.275 | MAPE=0.39%
02:39:17 |  Iter-28 | MAE=0.429 | MAPE=0.60%
02:43:06 |  Iter-29 | MAE=0.524 | MAPE=0.73%
02:46:55 |  Iter-30 | MAE=0.400 | MAPE=0.55%
02:56:13 |  Iter-31 | MAE=0.133 | MAPE=0.18%
02:59:52 |  Iter-32 | MAE=0.686 | MAPE=0.95%
03:05:32 |  Iter-33 | MAE=0.790 | MAPE=1.08%
03:12:27 |  Iter-34 | MAE=1.435 | MAPE=2.01%
03:18:58 |  Iter-35 | MAE=0.414 | MAPE=0.56%
03:25:13 |  Iter-36 | MAE=0.681 | MAPE=0.91%
03:30:21 |  Iter-37 | MAE=1.041 | MAPE=1.40%
03:34:52 |  Iter-38 | MAE=3.472 | MAPE=4.84%
03:40:02 |  Iter-39 | MAE=2.613 | MAPE=3.63%
03:44:16 |  Iter-40 | MAE=0.824 | MAPE=1.12%
03:48:18 |  Iter-41 | MAE=1.058 | MAPE=1.43%
03:53:29 |  Iter-42 | MAE=1.132 | MAPE=1.52%
03:56:55 |  Iter-43 | MAE=1.354 | MAPE=1.79%
04:01:12 |  Iter-44 | MAE=1.521 | MAPE=1.96%
04:05:52 |  Iter-45 | MAE=0.539 | MAPE=0.71%
04:11:43 |  Iter-46 | MAE=1.452 | MAPE=1.91%
04:15:25 |  Iter-47 | MAE=2.221 | MAPE=3.05%
04:21:19 |  Iter-48 | MAE=0.520 | MAPE=0.71%
04:25:35 |  Iter-49 | MAE=0.297 | MAPE=0.41%
04:29:22 |  Iter-50 | MAE=0.521 | MAPE=0.72%
04:32:52 |  Iter-51 | MAE=2.247 | MAPE=2.92%
04:39:04 |  Iter-52 | MAE=1.602 | MAPE=2.03%
04:43:17 |  Iter-53 | MAE=0.408 | MAPE=0.52%
04:47:14 |  Iter-54 | MAE=1.673 | MAPE=2.09%
04:52:24 |  Iter-55 | MAE=1.100 | MAPE=1.37%
04:56:20 |  Iter-56 | MAE=0.992 | MAPE=1.23%
05:01:18 |  Iter-57 | MAE=0.148 | MAPE=0.18%
05:09:39 |  Iter-58 | MAE=10.773 | MAPE=11.77%
05:13:09 |  Iter-59 | MAE=7.127 | MAPE=7.34%
05:15:44 |  Iter-60 | MAE=3.085 | MAPE=3.01%
05:20:11 |  Iter-61 | MAE=18.385 | MAPE=16.93%
05:21:56 |  Iter-62 | MAE=5.055 | MAPE=4.27%
05:24:01 |  Iter-63 | MAE=19.680 | MAPE=13.74%
05:26:05 |  Iter-64 | MAE=19.267 | MAPE=15.64%
05:28:21 |  Iter-65 | MAE=2.219 | MAPE=1.74%
05:31:14 |  Iter-66 | MAE=11.934 | MAPE=8.72%
05:34:34 |  Iter-67 | MAE=3.430 | MAPE=2.40%
05:37:18 |  Iter-68 | MAE=4.369 | MAPE=2.98%
05:39:50 |  Iter-69 | MAE=3.321 | MAPE=2.28%
05:43:54 |  Iter-70 | MAE=6.693 | MAPE=4.58%
05:45:56 |  Iter-71 | MAE=6.694 | MAPE=4.23%
05:47:52 |  Iter-72 | MAE=2.752 | MAPE=1.76%
05:49:55 |  Iter-73 | MAE=1.205 | MAPE=0.74%
05:52:59 |  Iter-74 | MAE=7.041 | MAPE=4.84%
05:55:11 |  Iter-75 | MAE=16.029 | MAPE=12.03%
05:57:33 |  Iter-76 | MAE=8.755 | MAPE=6.75%
05:59:52 |  Iter-77 | MAE=0.253 | MAPE=0.19%
06:02:11 |  Iter-78 | MAE=9.717 | MAPE=6.76%
06:04:25 |  Iter-79 | MAE=2.182 | MAPE=1.53%
06:07:07 |  Iter-80 | MAE=3.879 | MAPE=2.78%
06:09:45 |  Iter-81 | MAE=7.941 | MAPE=5.36%
06:13:30 |  Iter-82 | MAE=6.780 | MAPE=4.65%
06:16:49 |  Iter-83 | MAE=5.343 | MAPE=3.75%
06:19:47 |  Iter-84 | MAE=27.343 | MAPE=22.28%
06:21:46 |  Iter-85 | MAE=13.650 | MAPE=10.27%
06:23:52 |  Iter-86 | MAE=0.989 | MAPE=0.74%
06:26:00 |  Iter-87 | MAE=0.969 | MAPE=0.72%
06:28:14 |  Iter-88 | MAE=8.378 | MAPE=6.61%
06:30:37 |  Iter-89 | MAE=1.094 | MAPE=0.91%
06:33:45 |  Iter-90 | MAE=2.307 | MAPE=1.89%
06:35:49 |  Iter-91 | MAE=2.519 | MAPE=2.01%
06:38:22 |  Iter-92 | MAE=7.898 | MAPE=6.50%
06:41:49 |  Iter-93 | MAE=3.179 | MAPE=2.63%
06:43:56 |  Iter-94 | MAE=4.798 | MAPE=3.80%
06:46:18 |  Iter-95 | MAE=1.022 | MAPE=0.80%
06:49:16 |  Iter-96 | MAE=1.229 | MAPE=0.98%
06:51:23 |  Iter-97 | MAE=2.276 | MAPE=1.76%
06:53:30 |  Iter-98 | MAE=0.404 | MAPE=0.31%
06:57:13 |  Iter-99 | MAE=0.368 | MAPE=0.28%
06:59:41 |  Iter-100 | MAE=1.051 | MAPE=0.78%
06:59:41 | 
 OVERALL: MAE=3.281, MAPE=2.88%, R2=0.9626 (24934.7s)
06:59:41 | Saved model checkpoint: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TEMPO/XANG_H1_seed777/model_checkpoint.pth
06:59:41 | Saved processor/scaler: /data/quyhv/oil_forecast_tail_risk/results_v4/walkforward/TEMPO/XANG_H1_seed777/processor.pkl
